name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,16338,103052193,,,0,,,,-77.43151,39.42995,,,
,16339,103052335,,,0,,,,-77.278594,39.416095,,,
,16340,103052354,turning_circle,,0,,,,-77.2695181,39.4221319,,,
,16341,103052370,turning_circle,,0,,,,-77.4328143,39.4131897,,,
,16342,103052574,turning_circle,,0,,,,-77.42886,39.3860832,,,
,16343,103052600,,,0,,,,-77.348579,39.401657,,,
,16344,103052609,,,0,,,,-77.347709,39.401725,,,
,16345,103052694,,,0,,,,-77.240356,39.363311,,,
,16346,103052747,,,0,,,,-77.4255392,39.3916568,,,
,16347,103052779,,,0,,,,-77.166625,39.378086,,,
,16348,103052782,turning_circle,,0,,,,-77.166084,39.377937,,,
,16349,103052814,turning_circle,,0,,,,-77.1621758,39.3742993,,,
,16350,103052902,,,0,,,,-77.4423533,39.4283017,,,
,16351,103052980,,,0,,,,-77.322122,39.2873152,,,
,16352,103053025,,,0,,,,-77.4289919,39.4185738,,,
,16353,103053027,,,0,,,,-77.4300792,39.419723,,,
,16354,103053038,turning_circle,,0,,,,-77.4326044,39.4192997,,,
,16355,103053109,,,0,,,,-77.397399,39.424236,,,
,16356,103053121,,,0,,,,-77.4228931,39.4164284,,,
,16357,103053130,turning_circle,,0,,,,-77.2036964,39.4152974,,,
,16358,103053149,,,0,,,,-77.204421,39.416595,,,
,16359,103053220,turning_circle,,0,,,,-77.2739731,39.3893997,,,
,16360,103053235,turning_circle,,0,,,,-77.428703,39.384433,,,
,16361,103053396,,,0,,,,-77.25328,39.347217,,,
,16362,103053452,,,0,,,,-77.243728,39.361728,,,
,16363,103053461,,,0,,,,-77.238349,39.369567,,,
,16364,103053464,,,0,,,,-77.2349633,39.3725049,,,
,16365,103053465,,,0,,,,-77.234657,39.372787,,,
,16366,103053469,,,0,,,,-77.2320505,39.3742213,,,
,16367,103053470,,,0,,,,-77.2319576,39.3744388,,,
,16368,103053624,,,0,,,,-77.4291944,39.4091489,,,
,16369,103053626,,,0,,,,-77.430301,39.4091353,,,
,16370,103053661,,,0,,,,-77.3973741,39.4157254,,,
,16371,103053665,,,0,,,,-77.3977463,39.4159147,,,
,16372,103053682,,,0,,,,-77.434164,39.3699395,,,
,16373,103053756,,,0,,,,-77.3592049,39.3011201,,,
,16374,103054095,traffic_signals,,1,,,,-77.442062,39.3875115,,,
,16375,103054105,,,0,,,,-77.4403373,39.3898476,,,
,16376,103054119,,,0,,,,-77.437477,39.401569,,,
,16377,103054167,,,0,,,,-77.4362205,39.2625309,,,
,16378,103054214,,,0,,,,-77.4198698,39.2891254,,,
,16379,103054229,,,0,,,,-77.4095768,39.2974971,,,
,16380,103054232,,,0,,,,-77.4090685,39.29807,,,
,16381,103054234,,,0,,,,-77.4076255,39.299554,,,
,16382,103054253,,,0,,,,-77.4057198,39.3032081,,,
,16383,103054279,,,0,,,,-77.3929913,39.3178928,,,
,16384,103054327,,,0,,,,-77.3777135,39.3351111,,,
