node_id,x_coord,y_coord,zone_id,geometry
33970,-84.369629,33.648979,,POINT (-84.369629 33.648979)
33971,-84.366844,33.652615,,POINT (-84.366844 33.652615)
33972,-84.364643,33.654987,,POINT (-84.364643 33.654987)
33973,-84.349876,33.66383,,POINT (-84.349876 33.66383)
33974,-84.345961,33.665485,,POINT (-84.345961 33.665485)
33975,-84.374426,33.583755,,POINT (-84.374426 33.583755)
33976,-84.284439,33.549126,,POINT (-84.284439 33.549126)
33977,-84.31839,33.647099,,POINT (-84.31839 33.647099)
33979,-84.340347,33.667486,,POINT (-84.340347 33.667486)
33980,-84.335007,33.670234,,POINT (-84.335007 33.670234)
33981,-84.334207,33.67057,,POINT (-84.334207 33.67057)
33982,-84.32843,33.672993,,POINT (-84.32843 33.672993)
33983,-84.326442,33.665406,,POINT (-84.326442 33.665406)
33985,-84.404388,33.700838,,POINT (-84.404388 33.700838)
33986,-84.404199,33.696838,,POINT (-84.404199 33.696838)
34367,-84.719727,33.747025,,POINT (-84.719727 33.747025)
34368,-84.715096,33.750401,,POINT (-84.715096 33.750401)
34369,-84.711449,33.7526,,POINT (-84.711449 33.7526)
34370,-84.57105,33.54861,,POINT (-84.57105 33.54861)
34371,-84.537626,33.563653,,POINT (-84.537626 33.563653)
34372,-84.608986,33.776816,,POINT (-84.608986 33.776816)
34373,-84.605766,33.776901,,POINT (-84.605766 33.776901)
34374,-84.601822,33.776653,,POINT (-84.601822 33.776653)
34375,-84.539528,33.769798,,POINT (-84.539528 33.769798)
34376,-84.534012,33.566799,,POINT (-84.534012 33.566799)
34377,-84.530203,33.570515,,POINT (-84.530203 33.570515)
34378,-84.486513,33.610696,,POINT (-84.486513 33.610696)
34379,-84.48767,33.617747,,POINT (-84.48767 33.617747)
34380,-84.478923,33.619193,,POINT (-84.478923 33.619193)
49632,-84.497871,33.652932,,POINT (-84.497871 33.652932)
49633,-84.488643,33.625063,,POINT (-84.488643 33.625063)
49634,-84.497993,33.656689,,POINT (-84.497993 33.656689)
49635,-84.49793,33.660126,,POINT (-84.49793 33.660126)
49636,-84.500175,33.686139,,POINT (-84.500175 33.686139)
49637,-84.467066,33.619926,,POINT (-84.467066 33.619926)
49638,-84.461692,33.61983,,POINT (-84.461692 33.61983)
49639,-84.458523,33.619151,,POINT (-84.458523 33.619151)
49640,-84.4563,33.618719,,POINT (-84.4563 33.618719)
49641,-84.458397,33.623997,,POINT (-84.458397 33.623997)
49642,-84.455933,33.62702,,POINT (-84.455933 33.62702)
49643,-84.453056,33.641781,,POINT (-84.453056 33.641781)
49644,-84.451155,33.643746,,POINT (-84.451155 33.643746)
49645,-84.448425,33.646442,,POINT (-84.448425 33.646442)
49646,-84.448181,33.646717,,POINT (-84.448181 33.646717)
