node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
20744,,-112.113309,33.670815,,,0,0.100000,0.100000,"POINT (-112.113309 33.670815)"
20861,,-112.113412,33.668510,,,0,0.100000,0.100000,"POINT (-112.113412 33.668510)"
20722,,-112.113285,33.667293,,,0,0.100000,0.100000,"POINT (-112.113285 33.667293)"
24934,,-112.113106,33.670819,,,0,0.100000,0.100000,"POINT (-112.113106 33.670819)"
37593,,-112.119682,33.668657,,,0,0.100000,0.100000,"POINT (-112.119682 33.668657)"
20163,,-112.125895,33.662800,,,0,0.100000,0.100000,"POINT (-112.125895 33.662800)"
20773,,-112.119851,33.662775,,,0,0.100000,0.100000,"POINT (-112.119851 33.662775)"
20774,,-112.125485,33.668194,,,0,0.100000,0.100000,"POINT (-112.125485 33.668194)"
20775,,-112.118195,33.667932,,,0,0.100000,0.100000,"POINT (-112.118195 33.667932)"
20621,,-112.121138,33.654666,,,0,0.100000,0.100000,"POINT (-112.121138 33.654666)"
20776,,-112.125943,33.667658,,,0,0.100000,0.100000,"POINT (-112.125943 33.667658)"
20777,,-112.126760,33.668214,,,0,0.100000,0.100000,"POINT (-112.126760 33.668214)"
20778,,-112.126100,33.668213,,,0,0.100000,0.100000,"POINT (-112.126100 33.668213)"
20779,,-112.126003,33.668085,,,0,0.100000,0.100000,"POINT (-112.126003 33.668085)"
20780,,-112.125882,33.668337,,,0,0.100000,0.100000,"POINT (-112.125882 33.668337)"
20781,,-112.125886,33.667720,,,0,0.100000,0.100000,"POINT (-112.125886 33.667720)"
20782,,-112.117272,33.667172,,,0,0.100000,0.100000,"POINT (-112.117272 33.667172)"
20783,,-112.117455,33.667884,,,0,0.100000,0.100000,"POINT (-112.117455 33.667884)"
20784,,-112.117383,33.667772,,,0,0.100000,0.100000,"POINT (-112.117383 33.667772)"
20786,,-112.117177,33.667595,,,0,0.100000,0.100000,"POINT (-112.117177 33.667595)"
