name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
Pima Freeway,25,14926107,734,523,1,199.8322894,3,104.0,,motorway,1,"LINESTRING (-112.1079815 33.6686182, -112.1068751 33.6686268, -112.1058222 33.6686277)",auto,0,0,,
,26,23724842,531,1645,1,101.7952554,2,,,motorway,1,"LINESTRING (-112.1170254 33.638928, -112.1168865 33.6387719, -112.1166717 33.6384491, -112.1165704 33.6382679, -112.1164978 33.6381281)",auto,0,1,,
West Utopia Road,27,23725323,2906,90065,1,43.13096654,3,,,secondary,4,"LINESTRING (-112.1127989 33.6620278, -112.113141 33.6620174, -112.1132647 33.662017)",auto,0,0,,
,28,23725356,537,3618,1,256.6431817,1,,,motorway,1,"LINESTRING (-112.1146441 33.6578152, -112.1146419 33.6573509, -112.1146682 33.6569199, -112.1147043 33.6564328, -112.1147549 33.6557976, -112.1147698 33.6555103)",auto,0,1,,
,29,23725360,541,540,1,216.928962,1,,,motorway,1,"LINESTRING (-112.1150895 33.6539164, -112.1150608 33.653829, -112.1150586 33.6534669, -112.1150703 33.6530144, -112.1150602 33.6525401, -112.1150568 33.6520941, -112.1150389 33.6519698)",auto,0,1,,
,30,23725379,544,1632,1,150.861377,1,,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1144781 33.6511424, -112.114445 33.6514047, -112.1143786 33.6519613, -112.1143265 33.652287)",auto,0,1,,
,31,23725387,544,1633,1,150.7958173,1,,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1145218 33.6511462, -112.1144899 33.6514037, -112.114425 33.6519795, -112.1143958 33.652292)",auto,0,1,,
,32,23725538,558,2749,1,537.8319632,1,72.0,,motorway,1,"LINESTRING (-112.1129946 33.6712988, -112.1129361 33.6715341, -112.1128516 33.6721232, -112.1127223 33.6726686, -112.1124249 33.6734017, -112.1123329 33.6736826, -112.1122908 33.6738702, -112.1122576 33.6740825, -112.1122351 33.6746377, -112.1121867 33.6756831, -112.112165 33.6760585)",auto,0,1,,
,33,23725593,553,550,1,216.247941,1,,,motorway,1,"LINESTRING (-112.1136302 33.6677628, -112.1137643 33.6672101, -112.1138088 33.6668703, -112.1139015 33.6663697, -112.1140635 33.6659696, -112.1141086 33.6658658)",auto,0,1,,
North 23rd Avenue,34,23725833,556,3473,1,102.6053097,1,,,secondary,4,"LINESTRING (-112.1087154 33.6620607, -112.1086776 33.6621009, -112.1086478 33.6621517, -112.1086242 33.6622081, -112.1086131 33.6622736, -112.1086116 33.6629629)",auto,1,0,,
North 23rd Avenue,35,23725833,3473,556,1,102.6053097,2,,,secondary,4,"LINESTRING (-112.1086116 33.6629629, -112.1086131 33.6622736, -112.1086242 33.6622081, -112.1086478 33.6621517, -112.1086776 33.6621009, -112.1087154 33.6620607)",auto,1,0,,
Piestewa Freeway,36,23795731,571,517,1,34.36054223,4,104.0,,motorway,1,"LINESTRING (-112.0000012 33.6644913, -111.99999 33.6643697, -111.9999727 33.6641832)",auto,0,0,,
Piestewa Freeway,37,23807260,1730,570,1,423.4220336,1,104.0,,motorway,1,"LINESTRING (-111.9910981 33.673063, -111.9921093 33.6730295, -111.9932841 33.6729558, -111.9950168 33.672842, -111.9953521 33.6728108, -111.9956579 33.6727683)",auto,1,0,,
