name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,1691,2683500514,,,,,primary,-1,-112.065624,33.6395123,,,
,1692,2683500569,,,,,primary,0,-112.071533,33.6401901,,,
,1693,2683500571,,,,,primary,0,-112.0684769,33.6402028,,,
,1694,2683500573,,,,,primary,0,-112.0664799,33.6402147,,,
,1695,2683500574,,,,,primary,0,-112.0714885,33.6403537,,,
,1696,2683500575,,,,,primary,0,-112.0705695,33.6403575,,,
,1697,2685596692,,,,,primary,0,-112.0738922,33.6401748,,,
,1698,2685596694,,,,,primary,0,-112.0735138,33.6401786,,,
,1699,2685596696,,,,,primary,0,-112.0738995,33.6403458,,,
,1700,2685596698,,,,,primary,0,-112.0735098,33.6403462,,,
,1701,2686108981,,,,,primary,0,-112.0796824,33.6401459,,,
,1702,2696565963,,,,,primary,0,-112.1098221,33.6400611,,,
,1704,2753458541,,,,,primary,0,-111.941048,33.6403466,,,
,1705,2753487543,,,,,secondary,0,-111.9428756,33.639572,,,
,1706,2753487549,,,,,secondary,0,-111.9428844,33.6379715,,,
,1707,2753487551,,,,,secondary,0,-111.942902,33.6362128,,,
,1708,2753487552,,,,,secondary,0,-111.9429025,33.6346725,,,
,1709,2753494465,,,,,primary,0,-111.9457402,33.6405048,,,
,1710,2753494471,,,,,primary,0,-111.9457402,33.640377,,,
,1711,2753494472,,,,,primary,0,-111.9456313,33.6405063,,,
,1712,2753494474,,,,,primary,0,-111.9456356,33.6403762,,,
,1713,2755635604,traffic_signals,,signal,,secondary,0,-111.9429118,33.6331716,,,
,1714,2793582888,,,,,secondary,0,-111.9600915,33.6559177,,,
,1715,2793582891,,,,,secondary,0,-111.9601134,33.6560172,,,
,1718,2793583420,,,,,secondary,0,-111.9629258,33.6636642,,,
,1721,3003947413,,,,,motorway,0,-112.1135013,33.6760345,,,
,1722,3003947422,traffic_signals,,signal,,secondary,0,-112.1121446,33.6764401,,,
,1723,3003947423,,,,,secondary,0,-112.1136955,33.6764423,,,
,1724,3003947425,,,,,secondary,0,-112.1113961,33.6764484,,,
,1725,3003947429,,,,,secondary,0,-112.114896,33.67651,,,
,1726,3003947432,,,,,secondary,0,-112.1118638,33.6765796,,,
,1727,3003949133,,,,,secondary,0,-112.1123001,33.6765822,,,
,1728,3003949134,,,,,secondary,0,-112.1132295,33.6765851,,,
,1729,3003949135,traffic_signals,,signal,,secondary,0,-112.1134553,33.6765859,,,
,1730,3005905044,,,,,motorway,0,-111.9910981,33.673063,,,
,1731,3009732926,,,,,secondary,0,-112.108619,33.667265,,,
,1732,3009732928,,,,,secondary,0,-112.1085271,33.6674402,,,
,1733,3009734833,,,,,secondary,0,-112.1091151,33.6681851,,,
,1735,3009734842,,,,,secondary,0,-112.1086704,33.6683114,,,
,1736,3009734846,,,,,secondary,0,-112.1086765,33.6693114,,,
,1738,3009735212,,,,,secondary,0,-112.1158949,33.6765156,,,
,1739,3016795556,,,,,primary,0,-111.9252896,33.6676822,,,
,1740,3027719758,traffic_signals,,signal,,secondary,0,-111.9558551,33.66335,,,
,1741,3027719760,traffic_signals,,signal,,secondary,0,-111.9556727,33.6634985,,,
,1742,3027719767,traffic_signals,,signal,,secondary,0,-111.9601751,33.6636947,,,
,1743,3027739431,,,,,secondary,0,-111.9592474,33.6543499,,,
,1744,3027744138,,,,,secondary,0,-111.9599532,33.6559226,,,
,1745,3027744143,,,,,secondary,0,-111.9600421,33.6573438,,,
,1746,3027744144,traffic_signals,,signal,,secondary,0,-111.9600433,33.6592395,,,
,1747,3027744150,traffic_signals,,signal,,secondary,0,-111.9599541,33.6635042,,,
,1748,3027744151,traffic_signals,,signal,,secondary,0,-111.9599499,33.663696,,,
,1749,3027744152,,,,,secondary,0,-111.9599269,33.6667379,,,
,1750,3027744155,,,,,motorway,0,-111.9594432,33.6670092,,,
,1751,3027744158,traffic_signals,,signal,,motorway,0,-111.9599251,33.6672065,,,
,1752,3027744159,traffic_signals,,signal,,motorway,0,-111.9599185,33.6684132,,,
,1753,3027744168,,,,,secondary,0,-111.9601832,33.6702685,,,
,1754,3027744170,traffic_signals,,signal,,secondary,0,-111.960164,33.6724628,,,
,1755,3027744171,traffic_signals,,signal,,secondary,0,-111.959956,33.6724655,,,
,1756,3027744173,,,,,secondary,0,-111.9599506,33.6742669,,,
,1757,3027744175,,,,,secondary,0,-111.9615885,33.6761491,,,
,1759,3027744177,,,,,secondary,0,-111.9623138,33.6761778,,,
,1760,3027744178,,,,,secondary,0,-111.9626147,33.6762073,,,
,1761,3027744179,traffic_signals,,signal,,secondary,0,-111.959962,33.6762382,,,
,1764,3027744186,,,,,secondary,0,-111.9666419,33.6773159,,,
,1766,3027744190,,,,,secondary,0,-111.9704911,33.6787138,,,
,1767,3027744193,,,,,secondary,0,-111.9736667,33.6794592,,,
,1768,3027744195,,,,,secondary,0,-111.9748966,33.6797825,,,
,1771,3029835619,,,,,primary,0,-112.1692142,33.665453,,,
,1772,3029835620,,,,,primary,0,-112.1692661,33.6665342,,,
,1773,3041540335,,,,,secondary,0,-112.2055169,33.6672735,,,
,1774,3041540338,,,,,secondary,0,-112.203024,33.6673869,,,
,1775,3041540340,,,,,secondary,0,-112.2018075,33.6674364,,,
,1776,3041540341,,,,,motorway,0,-112.2012093,33.6675787,,,
,1777,3041540342,traffic_signals,,signal,,motorway,0,-112.1994465,33.667805,,,
,1778,3096170716,,,,,secondary,0,-112.1753818,33.6545334,,,
,1780,3108745440,,,,,tertiary,0,-111.9425839,33.6603668,,,
,1781,3108745444,,,,,motorway,0,-111.9424621,33.6606226,,,
,1782,3108745452,,,,,motorway,0,-111.9414739,33.6610628,,,
,1783,3108745456,,,,,motorway,0,-111.9421208,33.6611391,,,
,1784,3108745460,traffic_signals,,signal,,motorway,0,-111.942828,33.6612844,,,
,1785,3108745461,crossing,,,,motorway,0,-111.9429806,33.6613107,,,
,1786,3108745467,,,,,motorway,0,-111.9438934,33.6615932,,,
,1787,3108745468,,,,,motorway,0,-111.9400775,33.6616174,,,
,1788,3108745470,,,,,motorway,0,-111.945327,33.6620002,,,
,1789,3108745471,,,,,motorway,0,-111.9414748,33.6620474,,,
,1790,3108745476,crossing,,,,motorway,0,-111.9424227,33.6623198,,,
,1791,3108745480,,,,,motorway,0,-111.9432947,33.6624838,,,
,1792,3108745481,traffic_signals,,signal,,motorway,0,-111.942558,33.6623499,,,
,1793,3108745482,traffic_signals,,signal,,motorway,0,-111.942834,33.6624175,,,
,1794,3108745486,,,,,motorway,0,-111.9443433,33.6626002,,,
,1797,3111435246,,,,,secondary,0,-111.9235975,33.6552673,,,
,1798,3111435261,,,,,secondary,0,-111.9223402,33.655183,,,
,1799,3112904901,,,,,primary,0,-111.9255304,33.6358414,,,
,1800,3113273969,,,,,primary,0,-111.9837704,33.6405312,,,
,1801,3116168561,,,,,primary,0,-111.9254577,33.6540339,,,
,1802,3121561990,,,,,primary,0,-111.9254669,33.6500237,,,
,1803,3121630738,traffic_signals,,signal,,primary,0,-111.925247,33.6414664,,,
