agent_id,geometry,time_sequence
1,"LINESTRING (-77.371500 39.014400,-77.370900 39.014100,-77.368400 39.012700,-77.360500 39.008600,-77.350200 39.002800,-77.345500 39.000500,-77.345400 39.000500,-77.336500 38.994600,-77.336400 38.994500,-77.315700 38.977800,-77.314700 38.977300,-77.303900 38.973800,-77.291500 38.967200,-77.276900 38.959700,-77.274700 38.958000,-77.264500 38.951400,-77.255200 38.942800,-77.247700 38.935100,-77.243500 38.930700,-77.236900 38.923800,-77.236800 38.923700,-77.232600 38.919600,-77.230200 38.917800,-77.227000 38.915800,-77.226200 38.915200,-77.220400 38.911900,-77.215200 38.908900,-77.214900 38.908800,-77.214600 38.908600,-77.199700 38.900600,-77.199600 38.900500,-77.194300 38.897100)",0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2,"LINESTRING (-77.194300 38.897300,-77.199200 38.900500,-77.199600 38.900700,-77.214500 38.908800,-77.214800 38.908900,-77.215400 38.909300,-77.221400 38.912500,-77.226000 38.915400,-77.226800 38.915800,-77.230500 38.918400,-77.232100 38.919700,-77.236400 38.923900,-77.236500 38.924000,-77.244700 38.932300,-77.248700 38.936400,-77.255100 38.942900,-77.264400 38.951500,-77.274600 38.958100,-77.276800 38.959700,-77.291400 38.967300,-77.303800 38.974000,-77.314600 38.977500,-77.315700 38.978000,-77.336200 38.994600,-77.336400 38.994700,-77.344900 39.000400,-77.346000 39.001000,-77.350000 39.003000,-77.360900 39.009000,-77.367300 39.012500,-77.370700 39.014300,-77.370900 39.014300)",0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
