,long,lat,order,piece,linkid,group,citycode
89490,-2.2484189999999997,53.491709,2,1,14,14.1,manchester
89491,-2.247566,53.490865,3,1,14,14.1,manchester
89492,-2.2473099999999997,53.490584,4,1,14,14.1,manchester
89493,-2.2469349999999997,53.490064000000004,5,1,14,14.1,manchester
89494,-2.246581,53.489594,6,1,14,14.1,manchester
89495,-2.246514,53.489516,7,1,14,14.1,manchester
89496,-2.2459119999999997,53.488707,8,1,14,14.1,manchester
89497,-2.245934,53.48854,1,1,15,15.1,manchester
89498,-2.246318,53.488986,2,1,15,15.1,manchester
89499,-2.246591,53.489481999999995,3,1,15,15.1,manchester
89500,-2.246795,53.489763,4,1,15,15.1,manchester
89501,-2.2473669999999997,53.490586,5,1,15,15.1,manchester
89502,-2.247739,53.490956000000004,6,1,15,15.1,manchester
89503,-2.248873,53.49216,7,1,15,15.1,manchester
89504,-2.24893,53.492220999999994,8,1,15,15.1,manchester
89505,-2.245602,53.488521,1,1,16,16.1,manchester
89506,-2.245447,53.488546,2,1,16,16.1,manchester
89507,-2.244089,53.488872,3,1,16,16.1,manchester
89508,-2.2436119999999997,53.489013,4,1,16,16.1,manchester
89509,-2.2434439999999998,53.488938,1,1,17,17.1,manchester
89510,-2.243529,53.488917,2,1,17,17.1,manchester
89511,-2.244754,53.488606000000004,3,1,17,17.1,manchester
89512,-2.245358,53.48846999999999,4,1,17,17.1,manchester
89513,-2.244257,53.488732999999996,1,1,18,18.1,manchester
89514,-2.244577,53.488687,2,1,18,18.1,manchester
89515,-2.244798,53.48863000000001,3,1,18,18.1,manchester
89516,-2.245372,53.488493000000005,4,1,18,18.1,manchester
89517,-2.24321,53.48910600000001,1,1,19,19.1,manchester
89518,-2.24313,53.489123,2,1,19,19.1,manchester
89519,-2.242085,53.489383,3,1,19,19.1,manchester
89520,-2.241821,53.489340000000006,1,1,20,20.1,manchester
89521,-2.242232,53.489256000000005,2,1,20,20.1,manchester
89522,-2.243146,53.48904399999999,3,1,20,20.1,manchester
89523,-2.244741,53.492549,1,1,21,21.1,manchester
89524,-2.2426060000000003,53.492116,2,1,21,21.1,manchester
89525,-2.241535,53.491896,3,1,21,21.1,manchester
89526,-2.240982,53.491787,4,1,21,21.1,manchester
89527,-2.240806,53.491611,1,1,22,22.1,manchester
89528,-2.24068,53.491806999999994,2,1,22,22.1,manchester
89529,-2.240275,53.492543999999995,3,1,22,22.1,manchester
89530,-2.239819,53.493328000000005,4,1,22,22.1,manchester
89531,-2.23939,53.494063,5,1,22,22.1,manchester
89532,-2.238397,53.491126,1,1,23,23.1,manchester
89533,-2.239729,53.491462,2,1,23,23.1,manchester
89534,-2.240535,53.491647,3,1,23,23.1,manchester
89535,-2.2406099999999998,53.491795999999994,1,1,24,24.1,manchester
89536,-2.24137,53.490487,2,1,24,24.1,manchester
89537,-2.241557,53.490042,3,1,24,24.1,manchester
89538,-2.2415700000000003,53.489664000000005,4,1,24,24.1,manchester
89539,-2.241391,53.490438,1,1,25,25.1,manchester
89540,-2.24159,53.490106999999995,2,1,25,25.1,manchester
89541,-2.2416270000000003,53.489649,3,1,25,25.1,manchester
89542,-2.241737,53.48961,1,1,26,26.1,manchester
89543,-2.2416840000000002,53.490085,2,1,26,26.1,manchester
89544,-2.241364,53.49066800000001,3,1,26,26.1,manchester
89545,-2.240806,53.491611,4,1,26,26.1,manchester
89546,-2.241452,53.489325,1,1,27,27.1,manchester
89547,-2.241421,53.489278000000006,2,1,27,27.1,manchester
89548,-2.240566,53.488388,3,1,27,27.1,manchester
89549,-2.240214,53.487989,4,1,27,27.1,manchester
89550,-2.240184,53.487832,1,1,28,28.1,manchester
89551,-2.24031,53.487997,2,1,28,28.1,manchester
89552,-2.240637,53.488366000000006,3,1,28,28.1,manchester
89553,-2.241332,53.489084,4,1,28,28.1,manchester
89554,-2.241566,53.489281999999996,5,1,28,28.1,manchester
89555,-2.24032,53.487738,1,1,29,29.1,manchester
89556,-2.240327,53.487922,2,1,29,29.1,manchester
89557,-2.24037,53.48798000000001,3,1,29,29.1,manchester
89558,-2.241391,53.489086,4,1,29,29.1,manchester
89559,-2.241568,53.489171,5,1,29,29.1,manchester
89560,-2.239978,53.487892,1,1,30,30.1,manchester
89561,-2.23982,53.487942000000004,2,1,30,30.1,manchester
89562,-2.23958,53.488125,3,1,30,30.1,manchester
