corridor_id,agent_id,date,utd,trace_id,hh,mm,ss,y_coord,x_coord
Great Ducie Street,16,,89498,1,,None,,53.488986,-2.246318
Great Ducie Street,16,,89499,2,,None,,53.489482,-2.246591
Great Ducie Street,16,,89500,3,,None,,53.489763,-2.246795
Great Ducie Street,16,,89501,4,,None,,53.490586,-2.247367
Great Ducie Street,16,,89502,5,,None,,53.490956,-2.247739
Great Ducie Street,16,,89503,6,,None,,53.49216,-2.248873
Great Ducie Street,16,,89504,7,,None,,53.492221,-2.24893
New Bridge Street,17,,89505,0,,None,,53.488521,-2.245602
New Bridge Street,17,,89506,1,,None,,53.488546,-2.245447
New Bridge Street,17,,89507,2,,None,,53.488872,-2.244089
New Bridge Street,17,,89508,3,,None,,53.489013,-2.243612
New Bridge Street,18,,89509,0,,None,,53.488938,-2.243444
New Bridge Street,18,,89510,1,,None,,53.488917,-2.243529
New Bridge Street,18,,89511,2,,None,,53.488606,-2.244754
New Bridge Street,18,,89512,3,,None,,53.48846999999999,-2.245358
New Bridge Street,19,,89513,0,,None,,53.488733,-2.244257
New Bridge Street,19,,89514,1,,None,,53.488687,-2.244577
New Bridge Street,19,,89515,2,,None,,53.48863000000001,-2.244798
New Bridge Street,19,,89516,3,,None,,53.48849300000001,-2.245372
New Bridge Street,20,,89517,0,,None,,53.48910600000001,-2.24321
New Bridge Street,20,,89518,1,,None,,53.489123,-2.24313
New Bridge Street,20,,89519,2,,None,,53.489383,-2.242085
New Bridge Street,21,,89520,0,,None,,53.48934000000001,-2.241821
New Bridge Street,21,,89521,1,,None,,53.48925600000001,-2.242232
New Bridge Street,21,,89522,2,,None,,53.48904399999999,-2.243146
Lord Street,22,,89523,0,,None,,53.492549,-2.244741
Lord Street,22,,89524,1,,None,,53.492116,-2.2426060000000003
Lord Street,22,,89525,2,,None,,53.491896,-2.241535
Lord Street,22,,89526,3,,None,,53.491787,-2.240982
Cheetham Hill Road,23,,89527,0,,None,,53.491611,-2.240806
Cheetham Hill Road,23,,89528,1,,None,,53.491807,-2.24068
Cheetham Hill Road,23,,89529,2,,None,,53.492544,-2.240275
Cheetham Hill Road,23,,89530,3,,None,,53.49332800000001,-2.239819
Cheetham Hill Road,23,,89531,4,,None,,53.494063,-2.23939
Lord Street,24,,89532,0,,None,,53.491126,-2.238397
Lord Street,24,,89533,1,,None,,53.491462,-2.239729
Lord Street,24,,89534,2,,None,,53.491647,-2.240535
Cheetham Hill Road,25,,89535,0,,None,,53.491796,-2.24061
Cheetham Hill Road,25,,89536,1,,None,,53.490487,-2.24137
Cheetham Hill Road,25,,89537,2,,None,,53.490042,-2.241557
Cheetham Hill Road,25,,89538,3,,None,,53.48966400000001,-2.2415700000000003
Cheetham Hill Road,26,,89539,0,,None,,53.490438,-2.241391
Cheetham Hill Road,26,,89540,1,,None,,53.490107,-2.24159
Cheetham Hill Road,26,,89541,2,,None,,53.489649,-2.2416270000000003
Cheetham Hill Road,27,,89542,0,,None,,53.48961,-2.241737
Cheetham Hill Road,27,,89543,1,,None,,53.490085,-2.241684
Cheetham Hill Road,27,,89544,2,,None,,53.49066800000001,-2.241364
Cheetham Hill Road,27,,89545,3,,None,,53.491611,-2.240806
Cheetham Hill Road,28,,89546,0,,None,,53.489325,-2.241452
Cheetham Hill Road,28,,89547,1,,None,,53.48927800000001,-2.241421
Cheetham Hill Road,28,,89548,2,,None,,53.488388,-2.240566
Cheetham Hill Road,28,,89549,3,,None,,53.487989,-2.240214
Cheetham Hill Road,29,,89550,0,,None,,53.487832,-2.240184
Cheetham Hill Road,29,,89551,1,,None,,53.487997,-2.24031
Cheetham Hill Road,29,,89552,2,,None,,53.488366000000006,-2.240637
Cheetham Hill Road,29,,89553,3,,None,,53.489084,-2.241332
Cheetham Hill Road,29,,89554,4,,None,,53.489282,-2.241566
Cheetham Hill Road,30,,89555,0,,None,,53.487738,-2.24032
Cheetham Hill Road,30,,89556,1,,None,,53.487922,-2.240327
