,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode
102,89500,-2.246795,53.489763,4,1,15,15.1,manchester
103,89501,-2.247367,53.490586,5,1,15,15.1,manchester
104,89502,-2.247739,53.490956,6,1,15,15.1,manchester
105,89503,-2.248873,53.49216,7,1,15,15.1,manchester
106,89504,-2.24893,53.492221,8,1,15,15.1,manchester
107,89505,-2.245602,53.488521,1,1,16,16.1,manchester
108,89506,-2.245447,53.488546,2,1,16,16.1,manchester
109,89507,-2.244089,53.488872,3,1,16,16.1,manchester
110,89508,-2.243612,53.489013,4,1,16,16.1,manchester
111,89509,-2.243444,53.488938,1,1,17,17.1,manchester
112,89510,-2.243529,53.488917,2,1,17,17.1,manchester
113,89511,-2.244754,53.488606,3,1,17,17.1,manchester
114,89512,-2.245358,53.48846999999999,4,1,17,17.1,manchester
115,89513,-2.244257,53.488733,1,1,18,18.1,manchester
116,89514,-2.244577,53.488687,2,1,18,18.1,manchester
117,89515,-2.244798,53.48863000000001,3,1,18,18.1,manchester
118,89516,-2.245372,53.48849300000001,4,1,18,18.1,manchester
119,89517,-2.24321,53.48910600000001,1,1,19,19.1,manchester
120,89518,-2.24313,53.489123,2,1,19,19.1,manchester
121,89519,-2.242085,53.489383,3,1,19,19.1,manchester
122,89520,-2.241821,53.48934000000001,1,1,20,20.1,manchester
123,89521,-2.242232,53.48925600000001,2,1,20,20.1,manchester
124,89522,-2.243146,53.48904399999999,3,1,20,20.1,manchester
125,89523,-2.244741,53.492549,1,1,21,21.1,manchester
126,89524,-2.2426060000000003,53.492116,2,1,21,21.1,manchester
127,89525,-2.241535,53.491896,3,1,21,21.1,manchester
128,89526,-2.240982,53.491787,4,1,21,21.1,manchester
129,89527,-2.240806,53.491611,1,1,22,22.1,manchester
130,89528,-2.24068,53.491807,2,1,22,22.1,manchester
131,89529,-2.240275,53.492544,3,1,22,22.1,manchester
132,89530,-2.239819,53.49332800000001,4,1,22,22.1,manchester
133,89531,-2.23939,53.494063,5,1,22,22.1,manchester
134,89532,-2.238397,53.491126,1,1,23,23.1,manchester
