agent_id,o_zone_id,d_zone_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,speed,geometry
1,0,0,8847,3476,0,7721.70,0000:00,11,0,0,475.9,"LINESTRING (-77.301994 38.974361,-77.301746 38.974377,-77.301606 38.974387,-77.301256 38.974404,-77.301028 38.974415,)"
1,0,0,3476,7355,0,8085.84,0000:00,11,0,0,1310.9,"LINESTRING (-77.300470 38.974456,-77.300239 38.974477,-77.299920 38.974500,-77.299198 38.974540,-77.299051 38.974540,-77.298953 38.974536,-77.298804 38.974530,-77.298591 38.974506,-77.298553 38.974499,-77.298378 38.974468,-77.298308 38.974448,-77.298181 38.974413,-77.298035 38.974359,-77.297661 38.974220,-77.297244 38.974046,-77.297144 38.973995,-77.297061 38.973947,-77.296939 38.973862,-77.296885 38.973825,-77.296724 38.973682,-77.296689 38.973647,)"
1,0,0,7355,6503,0,8415.53,0000:00,11,0,0,1186.9,"LINESTRING (-77.296636 38.973592,-77.296511 38.973453,-77.296369 38.973259,-77.296312 38.973176,-77.296292 38.973147,-77.296243 38.973072,-77.296157 38.972922,-77.296064 38.972762,-77.295974 38.972585,-77.295856 38.972333,-77.295583 38.971720,-77.295499 38.971550,-77.295404 38.971383,-77.295333 38.971284,-77.295222 38.971154,-77.295123 38.971061,)"
1,0,0,6503,1288,0,8910.25,0000:00,11,0,0,1781.0,"LINESTRING (-77.294975 38.970951,-77.294868 38.970878,-77.294847 38.970864,-77.294611 38.970718,-77.294235 38.970514,-77.294062 38.970416,-77.293889 38.970312,-77.293717 38.970183,-77.293579 38.970054,-77.293401 38.969844,-77.293017 38.969336,-77.292998 38.969314,-77.292878 38.969179,-77.292724 38.968995,-77.292524 38.968780,-77.292474 38.968731,-77.292258 38.968519,-77.291863 38.968155,-77.291479 38.967809,-77.291369 38.967700,-77.291332 38.967649,)"
1,0,0,1288,14782,0,8937.60,0000:00,11,0,0,98.5,"LINESTRING (-77.291316 38.967594,-77.291326 38.967511,-77.291369 38.967432,)"
1,0,0,14782,9999,0,9242.34,0000:00,13,0,0,1097.1,"LINESTRING (-77.291459 38.967264,-77.291238 38.967185,-77.290928 38.967076,-77.290454 38.966901,-77.289701 38.966630,-77.288709 38.966280,)"
1,0,0,9999,10000,0,9301.89,0000:00,13,0,0,214.4,"LINESTRING (-77.288258 38.966117,)"
1,0,0,10000,13718,0,9435.08,0000:00,13,0,0,479.5,"LINESTRING (-77.287631 38.965896,)"
1,0,0,13718,10059,0,9523.06,0000:00,13,0,0,316.7,"LINESTRING (-77.286232 38.965393,)"
1,0,0,10059,10001,0,10036.59,0000:00,13,0,0,1848.7,"LINESTRING (-77.285309 38.965061,-77.284654 38.964830,-77.284629 38.964822,-77.284445 38.964756,-77.284251 38.964677,-77.284058 38.964588,-77.283890 38.964505,-77.283655 38.964376,-77.283439 38.964240,-77.282971 38.963910,-77.282213 38.963360,-77.281317 38.962707,)"
1,0,0,10001,10002,0,10109.35,0000:00,13,0,0,262.0,"LINESTRING (-77.280672 38.962234,)"
1,0,0,10002,10003,0,10169.17,0000:00,13,0,0,215.3,"LINESTRING (-77.280058 38.961787,)"
1,0,0,10003,13717,0,10232.10,0000:00,13,0,0,226.6,"LINESTRING (-77.279549 38.961422,-77.279422 38.961331,)"
1,0,0,13717,12417,0,10319.42,0000:00,13,0,0,314.4,"LINESTRING (-77.279016 38.961037,-77.278537 38.960691,)"
1,0,0,12417,13716,0,10415.00,0000:00,13,0,0,344.1,"LINESTRING (-77.278277 38.960502,-77.277725 38.960102,)"
1,0,0,13716,10029,0,10474.02,0000:00,13,0,0,212.5,"LINESTRING (-77.277469 38.959916,-77.277062 38.959619,)"
1,0,0,10029,10004,0,10541.31,0000:00,13,0,0,242.2,"LINESTRING (-77.276971 38.959552,)"
1,0,0,10004,13715,0,10584.96,0000:00,13,0,0,157.1,"LINESTRING (-77.276405 38.959137,)"
1,0,0,13715,10005,0,10624.67,0000:00,14,0,0,142.9,"LINESTRING (-77.276037 38.958868,)"
1,0,0,10005,10006,0,10662.29,0000:00,14,0,0,135.4,"LINESTRING (-77.275702 38.958624,)"
1,0,0,10006,14781,0,10731.45,0000:00,14,0,0,249.0,"LINESTRING (-77.275384 38.958393,-77.274932 38.958069,)"
1,0,0,14781,13736,0,10978.36,0000:00,14,0,0,888.9,"LINESTRING (-77.274799 38.957969,-77.274426 38.957700,-77.273993 38.957390,-77.273554 38.957089,-77.273375 38.956976,-77.273104 38.956798,)"
1,0,0,13736,10008,0,11042.32,0000:00,14,0,0,230.3,"LINESTRING (-77.272649 38.956508,)"
1,0,0,10008,10009,0,11266.66,0000:00,14,0,0,807.6,"LINESTRING (-77.272078 38.956143,-77.271435 38.955728,-77.270700 38.955251,)"
1,0,0,10009,10010,0,11339.60,0000:00,14,0,0,262.6,"LINESTRING (-77.270086 38.954851,)"
1,0,0,10010,13735,0,11377.97,0000:00,14,0,0,138.2,"LINESTRING (-77.269430 38.954438,)"
1,0,0,13735,10030,0,11414.20,0000:00,14,0,0,130.4,"LINESTRING (-77.269087 38.954219,-77.268821 38.954048,)"
1,0,0,10030,10011,0,11502.19,0000:00,14,0,0,316.8,"LINESTRING (-77.268764 38.954012,)"
1,0,0,10011,10012,0,11560.75,0000:00,14,0,0,210.8,"LINESTRING (-77.267976 38.953511,)"
1,0,0,10012,10013,0,11617.90,0000:00,14,0,0,205.7,"LINESTRING (-77.267455 38.953175,)"
1,0,0,10013,10014,0,11713.86,0000:00,14,0,0,345.4,"LINESTRING (-77.266944 38.952848,-77.266553 38.952594,)"
1,0,0,10014,10015,0,11809.55,0000:00,14,0,0,344.5,"LINESTRING (-77.266089 38.952298,)"
1,0,0,10015,14780,0,11897.48,0000:00,14,0,0,316.6,"LINESTRING (-77.265234 38.951752,-77.264735 38.951438,)"
1,0,0,14780,10017,0,12064.83,0000:00,14,0,0,602.5,"LINESTRING (-77.264446 38.951252,-77.264127 38.951051,-77.263397 38.950591,)"
1,0,0,10017,12431,0,12095.88,0000:00,14,0,0,111.8,"LINESTRING (-77.262942 38.950305,)"
1,0,0,12431,10018,0,12141.37,0000:00,14,0,0,163.8,"LINESTRING (-77.262674 38.950120,-77.262480 38.949967,)"
1,0,0,10018,13732,0,12459.81,0000:00,16,0,0,1146.4,"LINESTRING (-77.262304 38.949829,-77.262158 38.949713,-77.261913 38.949508,-77.261524 38.949149,-77.261113 38.948729,-77.260918 38.948541,-77.260675 38.948287,)"
1,0,0,13732,12483,0,12530.54,0000:00,16,0,0,254.6,"LINESTRING (-77.259993 38.947602,)"
1,0,0,12483,10019,0,12683.94,0000:00,16,0,0,552.2,"LINESTRING (-77.259492 38.947099,-77.259134 38.946736,)"
1,0,0,10019,10020,0,12761.81,0000:00,16,0,0,280.3,"LINESTRING (-77.258407 38.946007,)"
1,0,0,10020,10021,0,12822.41,0000:00,16,0,0,218.2,"LINESTRING (-77.257859 38.945452,)"
1,0,0,10021,10022,0,12951.09,0000:00,16,0,0,463.2,"LINESTRING (-77.257444 38.945013,)"
1,0,0,10022,14876,0,13125.62,0000:00,16,0,0,628.3,"LINESTRING (-77.256534 38.944097,-77.255394 38.942946,)"
1,0,0,14876,1437,0,13141.36,0000:00,16,0,0,56.7,"LINESTRING (-77.255302 38.942854,)"
1,0,0,1437,12490,0,13153.99,0000:00,16,0,0,45.4,"LINESTRING (-77.255450 38.942771,)"
1,0,0,12490,12494,0,13337.26,0000:00,16,0,0,659.8,"LINESTRING (-77.255362 38.942681,)"
1,0,0,12494,1438,0,13403.89,0000:00,16,0,0,239.9,"LINESTRING (-77.254068 38.941375,)"
1,0,0,1438,1434,0,13665.12,0000:00,16,0,0,940.4,"LINESTRING (-77.253597 38.940901,-77.253482 38.940803,-77.253330 38.940650,-77.253283 38.940580,-77.253207 38.940491,-77.252065 38.939302,)"
1,0,0,1434,9818,0,13681.87,0000:00,16,0,0,60.3,"LINESTRING (-77.251783 38.939025,)"
1,0,0,9818,13378,0,13862.41,0000:00,17,0,0,649.9,"LINESTRING (-77.251617 38.939102,-77.251489 38.938970,-77.251272 38.938750,-77.250620 38.938088,-77.250470 38.937933,)"
