tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order
110P05695,VA-7,WESTBOUND,I-495/CAPITAL BELTWAY,VA,FAIRFAX COUNTY,22102,38.909300000000,-77.215400000000,38.912500000000,-77.221400000000,0.391445,26
110+05696,VA-7,WESTBOUND,GALLOWS RD/INTERNATIONAL DR,VA,FAIRFAX COUNTY,22182,38.912500000000,-77.221400000000,38.915400000000,-77.226000000000,0.318641,27
110P05696,VA-7,WESTBOUND,GALLOWS RD/INTERNATIONAL DR,VA,FAIRFAX COUNTY,22182,38.915400000000,-77.226000000000,38.915800000000,-77.226800000000,0.052894,28
110+05697,VA-7,WESTBOUND,VA-123,VA,FAIRFAX COUNTY,22182,38.915800000000,-77.226800000000,38.918400000000,-77.230500000000,0.266860,29
110P05697,VA-7,WESTBOUND,VA-123,VA,FAIRFAX COUNTY,22182,38.918400000000,-77.230500000000,38.919700000000,-77.232100000000,0.122422,30
110+05698,VA-7,WESTBOUND,GOSNELL RD/WESTPARK DR,VA,FAIRFAX COUNTY,22182,38.919700000000,-77.232100000000,38.923900000000,-77.236400000000,0.377674,31
110P05698,VA-7,WESTBOUND,GOSNELL RD/WESTPARK DR,VA,FAIRFAX COUNTY,22182,38.923900000000,-77.236400000000,38.924000000000,-77.236500000000,0.008892,32
110+05699,VA-7,WESTBOUND,VA-267,VA,FAIRFAX COUNTY,22182,38.924000000000,-77.236500000000,38.932300000000,-77.244700000000,0.718829,33
110P05699,VA-7,WESTBOUND,VA-267,VA,FAIRFAX COUNTY,22182,38.932300000000,-77.244700000000,38.936400000000,-77.248700000000,0.361879,34
110+05700,VA-7,WESTBOUND,LEWINSVILLE RD,VA,FAIRFAX COUNTY,22182,38.936400000000,-77.248700000000,38.942900000000,-77.255100000000,0.561833,35
110+05701,VA-7,WESTBOUND,TOWLSTON RD,VA,FAIRFAX COUNTY,22182,38.942900000000,-77.255100000000,38.951500000000,-77.264400000000,0.778533,36
110+05702,VA-7,WESTBOUND,BEULAH RD,VA,FAIRFAX COUNTY,22182,38.951500000000,-77.264400000000,38.958100000000,-77.274600000000,0.714132,37
110+05703,VA-7,WESTBOUND,TROTTING HORSE LN,VA,FAIRFAX COUNTY,22066,38.958100000000,-77.274600000000,38.959700000000,-77.276800000000,0.166945,38
110+05704,VA-7,WESTBOUND,COLVIN RUN RD,VA,FAIRFAX COUNTY,22066,38.959700000000,-77.276800000000,38.967300000000,-77.291400000000,0.956130,39
110+05705,VA-7,WESTBOUND,COLVIN FOREST DR,VA,FAIRFAX COUNTY,22182,38.967300000000,-77.291400000000,38.974000000000,-77.303800000000,0.814711,40
110+05706,VA-7,WESTBOUND,SPRINGVALE RD,VA,FAIRFAX COUNTY,22182,38.974000000000,-77.303800000000,38.977500000000,-77.314600000000,0.627912,41
110P05706,VA-7,WESTBOUND,SPRINGVALE RD,VA,FAIRFAX COUNTY,22066,38.977500000000,-77.314600000000,38.978000000000,-77.315700000000,0.067981,41.1
110+05707,VA-7,WESTBOUND,RESTON PKWY,VA,FAIRFAX COUNTY,20170,38.978000000000,-77.315700000000,38.994600000000,-77.336200000000,1.612160,42
110P05707,VA-7,WESTBOUND,RESTON PKWY,VA,FAIRFAX COUNTY,20170,38.994600000000,-77.336200000000,38.994700000000,-77.336400000000,0.009172,42.1
110+05708,VA-7,WESTBOUND,VA-193/GEORGETOWN PIKE,VA,FAIRFAX COUNTY,20170,38.994700000000,-77.336400000000,39.000400000000,-77.344900000000,0.604753,43
110P05708,VA-7,WESTBOUND,VA-193/GEORGETOWN PIKE,VA,FAIRFAX COUNTY,22066,39.000400000000,-77.344900000000,39.001000000000,-77.346000000000,0.074121,44
110+05709,VA-7,WESTBOUND,SUGARLAND RD,VA,FAIRFAX COUNTY,20170,39.001000000000,-77.346000000000,39.003000000000,-77.350000000000,0.254799,45
110+05710,VA-7,WESTBOUND,VA-7100/HOLLY KNOLL DR,VA,FAIRFAX COUNTY,20170,39.003000000000,-77.350000000000,39.009000000000,-77.360900000000,0.718593,46
110P05710,VA-7,WESTBOUND,VA-7100/HOLLY KNOLL DR,VA,FAIRFAX COUNTY,20170,39.009000000000,-77.360900000000,39.012500000000,-77.367300000000,0.421999,47
110+05711,VA-7,WESTBOUND,VA-228/DRANESVILLE RD,VA,FAIRFAX COUNTY,20170,39.012500000000,-77.367300000000,39.014300000000,-77.370700000000,0.220479,48
110P05711,VA-7,WESTBOUND,VA-228/DRANESVILLE RD,VA,FAIRFAX COUNTY,20170,39.014300000000,-77.370700000000,39.014300000000,-77.370900000000,0.007960,48.1
