agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
2,1170,35,0,809.22,0000:00,0,0,0,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)"
2,35,34,0,857.10,0000:00,0,0,0,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)"
2,34,1442,0,1197.62,0000:00,0,0,0,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)"
2,1442,1445,0,1275.08,0000:00,0,0,0,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)"
2,1445,1446,0,1280.15,0000:00,0,0,0,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)"
2,1446,1448,0,1320.45,0000:00,0,0,0,"LINESTRING (-2.2536332 53.4868548, -2.2534233 53.4869519, -2.2531652 53.4870865)"
2,1448,37,0,1490.64,0000:00,0,0,0,"LINESTRING (-2.2531652 53.4870865, -2.252674 53.4873398, -2.2519637 53.4876512, -2.2512866 53.4879058, -2.2512651 53.4879124, -2.2510723 53.4879688)"
2,37,1451,0,1615.35,0000:00,0,0,0,"LINESTRING (-2.2510723 53.4879688, -2.2508545 53.4880357, -2.2507923 53.4880541, -2.2501484 53.4881851, -2.2494215 53.4882493, -2.2492675 53.4882598)"
2,1451,1452,0,1711.22,0000:00,0,0,0,"LINESTRING (-2.2492675 53.4882598, -2.2478202 53.4883024)"
2,1452,1453,0,1773.58,0000:00,0,0,0,"LINESTRING (-2.2478202 53.4883024, -2.247655 53.4883083, -2.2472789 53.4883217, -2.2468822 53.4883541)"
2,1453,2481,0,1840.18,0000:00,0,0,0,"LINESTRING (-2.2468822 53.4883541, -2.2464772 53.4884022, -2.2462304 53.4884398, -2.2459074 53.4885009)"
2,2481,1454,0,1851.72,0000:00,0,0,0,"LINESTRING (-2.2459074 53.4885009, -2.2457419 53.4885336)"
2,1454,1455,0,1908.73,0000:00,0,0,0,"LINESTRING (-2.2457419 53.4885336, -2.2454671 53.4885847, -2.244921 53.4886895)"
2,1455,476,0,2016.72,0000:00,0,0,0,"LINESTRING (-2.244921 53.4886895, -2.2444912 53.488788, -2.2440412 53.4889009, -2.2436118 53.4890116, -2.2434127 53.4890605)"
2,476,1373,0,2060.79,0000:00,0,0,0,"LINESTRING (-2.2434127 53.4890605, -2.2436752 53.4894247)"
2,1373,475,0,2166.64,0000:00,0,0,0,"LINESTRING (-2.2436752 53.4894247, -2.2438747 53.4896696, -2.2441021 53.4899189, -2.2444196 53.4902671)"
2,475,330,0,2283.87,0000:00,0,0,0,"LINESTRING (-2.2444196 53.4902671, -2.2452648 53.4911937)"
2,330,2116,0,2327.61,0000:00,0,0,0,"LINESTRING (-2.2452648 53.4911937, -2.2458598 53.4910221)"
2,2116,1929,0,2360.35,0000:00,0,0,0,"LINESTRING (-2.2458598 53.4910221, -2.2463046 53.4908931)"
2,1929,326,0,2387.21,0000:00,0,0,0,"LINESTRING (-2.2463046 53.4908931, -2.2466698 53.4907874)"
2,326,1918,0,2437.53,0000:00,0,0,0,"LINESTRING (-2.2466698 53.4907874, -2.2473539 53.4905897)"
2,1918,501,0,2568.26,0000:00,0,0,0,"LINESTRING (-2.2473539 53.4905897, -2.2491313 53.4900758)"
2,501,506,0,2719.13,0000:00,0,0,0,"LINESTRING (-2.2491313 53.4900758, -2.2496892 53.4907192, -2.2498437 53.4909031, -2.2500126 53.4913183)"
2,506,502,0,2799.09,0000:00,0,0,0,"LINESTRING (-2.2500126 53.4913183, -2.2503071 53.4920158)"
2,502,512,0,2817.92,0000:00,0,0,0,"LINESTRING (-2.2503071 53.4920158, -2.2505647 53.4919438)"
2,512,509,0,2896.26,0000:00,0,0,0,"LINESTRING (-2.2505647 53.4919438, -2.2508645 53.4918407, -2.2510495 53.4917794, -2.251611 53.4916146)"
2,509,1027,0,2950.69,0000:00,0,0,0,"LINESTRING (-2.251611 53.4916146, -2.2520689 53.4914958, -2.2522094 53.4914723, -2.2523023 53.4914723, -2.2523853 53.4914814)"
