,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
29,89427,-2.253664,53.486829,1,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
30,89428,-2.254386,53.487227,2,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
31,89429,-2.255174,53.487698,3,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
32,89430,-2.2561560000000003,53.488339,4,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
33,89431,-2.257531,53.488961,5,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
34,89432,-2.25812,53.489246,6,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
35,89433,-2.258739,53.48959,7,1,3,3.1,manchester,15353.0,N31111W,0.457004566769003,0.106504067587877,primary,Blackfriars Road,48.0,manchester,2.0,-2.257531,53.488961
36,89434,-2.258999,53.48986800000001,1,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
37,89435,-2.258436,53.489496,2,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
38,89436,-2.257706,53.489105,3,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
39,89437,-2.257074,53.488791000000006,4,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
40,89438,-2.256006,53.488314,5,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
41,89439,-2.255248,53.487797,6,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
42,89440,-2.2535380000000003,53.48686,7,1,4,4.1,manchester,15290.0,N06421D,0.4946396144099221,0.15414016951949402,primary,Blackfriars Road,48.0,manchester,1.0,-2.255248,53.487797
43,89441,-2.2535380000000003,53.48686,1,1,5,5.1,manchester,15285.0,N06411H,0.18951554240102206,0.168446243643363,trunk,Trinity Way,48.0,manchester,2.0,-2.2533380000000003,53.487007
44,89442,-2.2533380000000003,53.487007,2,1,5,5.1,manchester,15285.0,N06411H,0.18951554240102206,0.168446243643363,trunk,Trinity Way,48.0,manchester,2.0,-2.2533380000000003,53.487007
45,89443,-2.2526,53.487372,3,1,5,5.1,manchester,15285.0,N06411H,0.18951554240102206,0.168446243643363,trunk,Trinity Way,48.0,manchester,2.0,-2.2533380000000003,53.487007
46,89444,-2.251857,53.487712,4,1,5,5.1,manchester,15285.0,N06411H,0.18951554240102206,0.168446243643363,trunk,Trinity Way,48.0,manchester,2.0,-2.2533380000000003,53.487007
47,89445,-2.251307,53.48791,5,1,5,5.1,manchester,15285.0,N06411H,0.18951554240102206,0.168446243643363,trunk,Trinity Way,48.0,manchester,2.0,-2.2533380000000003,53.487007
48,89446,-2.251208,53.487846,1,1,6,6.1,manchester,15292.0,N06421F,0.18822301903380606,0.181889075682622,trunk,Trinity Way,48.0,manchester,2.0,-2.251292,53.487819
49,89447,-2.251292,53.487819,2,1,6,6.1,manchester,15292.0,N06421F,0.18822301903380606,0.181889075682622,trunk,Trinity Way,48.0,manchester,2.0,-2.251292,53.487819
50,89448,-2.252377,53.48734,3,1,6,6.1,manchester,15292.0,N06421F,0.18822301903380606,0.181889075682622,trunk,Trinity Way,48.0,manchester,2.0,-2.251292,53.487819
51,89449,-2.253273,53.486872,4,1,6,6.1,manchester,15292.0,N06421F,0.18822301903380606,0.181889075682622,trunk,Trinity Way,48.0,manchester,2.0,-2.251292,53.487819
52,89450,-2.253434,53.486802,5,1,6,6.1,manchester,15292.0,N06421F,0.18822301903380606,0.181889075682622,trunk,Trinity Way,48.0,manchester,2.0,-2.251292,53.487819
53,89451,-2.251232,53.487864,1,1,7,7.1,manchester,15291.0,N06421E,0.19544382297761,0.067053575664634,trunk,Trinity Way,48.0,manchester,1.0,-2.252798,53.487187
54,89452,-2.252605,53.487275,2,1,7,7.1,manchester,15291.0,N06421E,0.19544382297761,0.067053575664634,trunk,Trinity Way,48.0,manchester,1.0,-2.252798,53.487187
55,89453,-2.252798,53.487187,3,1,7,7.1,manchester,15291.0,N06421E,0.19544382297761,0.067053575664634,trunk,Trinity Way,48.0,manchester,1.0,-2.252798,53.487187
56,89454,-2.253575,53.486802,4,1,7,7.1,manchester,15291.0,N06421E,0.19544382297761,0.067053575664634,trunk,Trinity Way,48.0,manchester,1.0,-2.252798,53.487187
57,89455,-2.2557810000000003,53.485393,1,1,8,8.1,manchester,15289.0,N06421B,0.21383977216511604,0.189325358176948,trunk,Trinity Way,48.0,manchester,2.0,-2.255578,53.485577
58,89456,-2.255578,53.485577,2,1,8,8.1,manchester,15289.0,N06421B,0.21383977216511604,0.189325358176948,trunk,Trinity Way,48.0,manchester,2.0,-2.255578,53.485577
