,link_id,from_node_id,to_node_id,lanes,length,time_period,date,geometry,volume,speed
0,779.0,548.0,1527.0,,121.0,2310_2325,2017-09-29,"LINESTRING (-2.2612933 53.487564, -2.2611737 53.4876445, -2.2601373 53.4883536, -2.2600936 53.4883835)",240.0,40.0
1,779.0,548.0,1527.0,,121.0,2325_2340,2017-09-29,"LINESTRING (-2.2612933 53.487564, -2.2611737 53.4876445, -2.2601373 53.4883536, -2.2600936 53.4883835)",228.0,36.0
0,2706.0,1527.0,1739.0,,76.0,2310_2325,2017-09-29,"LINESTRING (-2.2600936 53.4883835, -2.2599972 53.4883253, -2.2593041 53.4878911)",240.0,40.0
1,2706.0,1527.0,1739.0,,76.0,2325_2340,2017-09-29,"LINESTRING (-2.2600936 53.4883835, -2.2599972 53.4883253, -2.2593041 53.4878911)",228.0,36.0
0,2708.0,1739.0,1525.0,,79.0,2310_2325,2017-09-29,"LINESTRING (-2.2593041 53.4878911, -2.2584816 53.4873758)",240.0,40.0
1,2708.0,1739.0,1525.0,,79.0,2325_2340,2017-09-29,"LINESTRING (-2.2593041 53.4878911, -2.2584816 53.4873758)",228.0,36.0
0,2717.0,1525.0,1731.0,,27.0,2310_2325,2017-09-29,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)",240.0,40.0
1,2717.0,1525.0,1731.0,,27.0,2325_2340,2017-09-29,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)",228.0,36.0
0,2719.0,1731.0,1738.0,,47.0,2310_2325,2017-09-29,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)",240.0,40.0
1,2719.0,1731.0,1738.0,,47.0,2325_2340,2017-09-29,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)",228.0,36.0
0,2721.0,1738.0,1457.0,,99.0,2310_2325,2017-09-29,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)",240.0,40.0
1,2721.0,1738.0,1457.0,,99.0,2325_2340,2017-09-29,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)",228.0,36.0
0,2683.0,1457.0,1530.0,,12.0,2310_2325,2017-09-29,"LINESTRING (-2.2572367 53.4886882, -2.2571402 53.488779)",240.0,40.0
1,2683.0,1457.0,1530.0,,12.0,2325_2340,2017-09-29,"LINESTRING (-2.2572367 53.4886882, -2.2571402 53.488779)",228.0,36.0
0,2593.0,1530.0,1499.0,,152.0,2310_2325,2017-09-29,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",240.0,40.0
1,2593.0,1530.0,1499.0,,152.0,2325_2340,2017-09-29,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",228.0,36.0
0,732.0,1499.0,527.0,,87.0,2310_2325,2017-09-29,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",240.0,40.0
1,732.0,1499.0,527.0,,87.0,2325_2340,2017-09-29,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",228.0,36.0
0,2717.0,1525.0,1731.0,,27.0,2310_2325,2017-09-29,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)",0.0,0.0
1,2717.0,1525.0,1731.0,,27.0,2325_2340,2017-09-29,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)",0.0,0.0
0,2719.0,1731.0,1738.0,,47.0,2310_2325,2017-09-29,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)",0.0,0.0
1,2719.0,1731.0,1738.0,,47.0,2325_2340,2017-09-29,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)",0.0,0.0
0,2721.0,1738.0,1457.0,,99.0,2310_2325,2017-09-29,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)",0.0,0.0
1,2721.0,1738.0,1457.0,,99.0,2325_2340,2017-09-29,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)",0.0,0.0
0,2684.0,1457.0,1534.0,,211.0,2310_2325,2017-09-29,"LINESTRING (-2.2572367 53.4886882, -2.2568978 53.4882358, -2.2567836 53.4880833, -2.2567656 53.4880592, -2.256749 53.4880294, -2.2567447 53.4879931, -2.2567464 53.4879683, -2.2567974 53.4878711, -2.2569133 53.4876636, -2.2570504 53.4873607, -2.2571421 53.4868829)",0.0,0.0
