utd_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000007,Silk Street,7,100000007,100000008,,,"LINESTRING (-2.260317 53.489087,-2.259142 53.48960600000001)",,,,,,,
100000008,Silk Street,8,100000008,100000009,2310_2325,2017-09-29,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",240.0,,40,,,,
100000008,Silk Street,8,100000008,100000009,2325_2340,2017-09-29,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",228.0,,36,,,,
100000008,Silk Street,8,100000008,100000009,2340_2355,2017-09-29,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",204.0,,45,,,,
100000008,Silk Street,8,100000008,100000009,2355_0010,2017-09-29,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",168.0,,48,,,,
100000008,Silk Street,8,100000008,100000009,0010_0025,2017-09-30,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",210.0,,43,,,,
100000008,Silk Street,8,100000008,100000009,,,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",,,,,,,
100000009,Broughton Bridge,1,100000010,100000011,2310_2325,2017-09-29,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",0.0,,0,,,,
100000009,Broughton Bridge,1,100000010,100000011,2325_2340,2017-09-29,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",0.0,,0,,,,
100000009,Broughton Bridge,1,100000010,100000011,2340_2355,2017-09-29,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",0.0,,0,,,,
100000009,Broughton Bridge,1,100000010,100000011,2355_0010,2017-09-29,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",0.0,,0,,,,
100000009,Broughton Bridge,1,100000010,100000011,0010_0025,2017-09-30,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",0.0,,0,,,,
100000009,Broughton Bridge,1,100000010,100000011,,,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",,,,,,,
100000010,Broughton Bridge,2,100000011,100000012,2310_2325,2017-09-29,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",0.0,,0,,,,
100000010,Broughton Bridge,2,100000011,100000012,2325_2340,2017-09-29,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",0.0,,0,,,,
100000010,Broughton Bridge,2,100000011,100000012,2340_2355,2017-09-29,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",0.0,,0,,,,
100000010,Broughton Bridge,2,100000011,100000012,2355_0010,2017-09-29,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",0.0,,0,,,,
100000010,Broughton Bridge,2,100000011,100000012,0010_0025,2017-09-30,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",0.0,,0,,,,
100000010,Broughton Bridge,2,100000011,100000012,,,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",,,,,,,
100000011,Broughton Bridge,3,100000012,100000013,2310_2325,2017-09-29,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",0.0,,0,,,,
100000011,Broughton Bridge,3,100000012,100000013,2325_2340,2017-09-29,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",0.0,,0,,,,
100000011,Broughton Bridge,3,100000012,100000013,2340_2355,2017-09-29,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",0.0,,0,,,,
100000011,Broughton Bridge,3,100000012,100000013,2355_0010,2017-09-29,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",0.0,,0,,,,
100000011,Broughton Bridge,3,100000012,100000013,0010_0025,2017-09-30,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",0.0,,0,,,,
100000011,Broughton Bridge,3,100000012,100000013,,,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",,,,,,,
100000012,Broughton Bridge,4,100000013,100000014,2310_2325,2017-09-29,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",0.0,,0,,,,
100000012,Broughton Bridge,4,100000013,100000014,2325_2340,2017-09-29,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",0.0,,0,,,,
100000012,Broughton Bridge,4,100000013,100000014,2340_2355,2017-09-29,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",0.0,,0,,,,
