link_id,osm_way_id,from_node_id,to_node_id,lanes,length,link_type_name,time_period,date,geometry,volume,speed,ip_address
30827,879886802,9621,14870,3,78.65288503530684,trunk,0150_0155,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0155_0200,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0200_0205,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0205_0210,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0210_0215,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0215_0220,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0220_0225,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0225_0230,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,45,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0230_0235,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,48,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0235_0240,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,48,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0240_0245,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,48,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0245_0250,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,48,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0250_0255,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,48,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0255_0300,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,46,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0300_0305,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0305_0310,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
30827,879886802,9621,14870,3,78.65288503530684,trunk,0310_0315,2015-04-01,"LINESTRING (-77.37181750000001 39.0145561, -77.3711079 39.0141976, -77.3710792 39.0141831, -77.3710543 39.0141705)",,44,www.openstreetmap.org/?way=879886802
