,agent_id,geometry,node
0,1,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141,-77.3684 39.0127,-77.3605 39.0086,-77.3502 39.0028,-77.3455 39.0005,-77.3454 39.0005,-77.3365 38.9946,-77.3364 38.9945,-77.3157 38.9778,-77.3147 38.9773,-77.3039 38.9738,-77.2915 38.9672,-77.2769 38.9597,-77.2747 38.958,-77.2645 38.9514,-77.2552 38.9428,-77.2477 38.9351,-77.2435 38.9307,-77.2369 38.9238,-77.2368 38.9237,-77.2326 38.9196,-77.2302 38.9178,-77.227 38.9158,-77.2262 38.9152,-77.2204 38.9119,-77.2152 38.9089,-77.2149 38.9088,-77.2146 38.9086,-77.1997 38.9006,-77.1996 38.9005,-77.1943 38.8971,)",100000001;100000002;100000003;100000004;100000005;100000006;100000007;100000008;100000009;100000010;100000011;100000012;100000013;100000014;100000015;100000016;100000017;100000018;100000019;100000020;100000021;100000022;100000023;100000024;100000025;100000026;100000027;100000028;100000029;100000030;100000031;100000032;
1,2,"LINESTRING (-77.1943 38.8973,-77.1992 38.9005,-77.1996 38.9007,-77.2145 38.9088,-77.2148 38.9089,-77.2154 38.9093,-77.2214 38.9125,-77.226 38.9154,-77.2268 38.9158,-77.2305 38.9184,-77.2321 38.9197,-77.2364 38.9239,-77.2365 38.924,-77.2447 38.9323,-77.2487 38.9364,-77.2551 38.9429,-77.2644 38.9515,-77.2746 38.9581,-77.2768 38.9597,-77.2914 38.9673,-77.3038 38.974,-77.3146 38.9775,-77.3157 38.978,-77.3362 38.9946,-77.3364 38.9947,-77.3449 39.0004,-77.346 39.001,-77.35 39.003,-77.3609 39.009,-77.3673 39.0125,-77.3707 39.0143,-77.3709 39.0143,)",100000033;100000034;100000035;100000036;100000037;100000038;100000039;100000040;100000041;100000042;100000043;100000044;100000045;100000046;100000047;100000048;100000049;100000050;100000051;100000052;100000053;100000054;100000055;100000056;100000057;100000058;100000059;100000060;100000061;100000062;100000063;100000064;
