,link_id,from_node_id,to_node_id,lanes,length,timestamp,geometry,volume,speed
22,28159,9996,12412,3,81.04077710937125,2015-04-01T00:00,"LINESTRING (-77.3088723 38.9755219, -77.3079924 38.9752704)",,50.0
23,23192,12412,12410,2,286.6503621955308,2015-04-01T00:00,"LINESTRING (-77.3079924 38.9752704, -77.3072926 38.9750703, -77.30635289999999 38.9748022, -77.30587629999999 38.9746602, -77.30544930000001 38.9745245, -77.3051581 38.9744225, -77.3049099 38.9743247)",,50.0
24,28155,12410,9995,4,103.36128680765516,2015-04-01T00:00,"LINESTRING (-77.3049099 38.9743247, -77.3047049 38.9742411, -77.3044787 38.9741389, -77.3041894 38.9739993, -77.3038871 38.9738444)",,50.0
25,25524,9995,2464,1,22.099877570626084,2015-04-01T00:00,"LINESTRING (-77.3038871 38.9738444, -77.3037442 38.9740092)",,50.0
26,16772,2464,4764,1,74.13967735445728,2015-04-01T00:00,"LINESTRING (-77.3037442 38.9740092, -77.3036567 38.9741053, -77.303584 38.974163, -77.3034859 38.9742151, -77.303363 38.9742552, -77.30319729999999 38.9742809, -77.3030181 38.974302)",,50.0
27,24055,4764,8847,1,88.74462596407373,2015-04-01T00:00,"LINESTRING (-77.3030181 38.974302, -77.3027933 38.9743149, -77.3019943 38.9743608)",,50.0
28,24057,8847,3476,1,132.2073643108798,2015-04-01T00:00,"LINESTRING (-77.3019943 38.9743608, -77.3017459 38.9743773, -77.30160619999999 38.9743866, -77.3012556 38.9744037, -77.30102770000001 38.9744148, -77.30047 38.974456)",,50.0
29,24059,3476,7355,1,364.1476962150834,2015-04-01T00:00,"LINESTRING (-77.30047 38.974456, -77.3002391 38.9744773, -77.29991990000001 38.9745002, -77.299198 38.97454, -77.2990506 38.9745404, -77.2989529 38.9745363, -77.298804 38.97453, -77.298591 38.974506, -77.29855259999999 38.9744991, -77.298378 38.974468, -77.2983076 38.9744483, -77.298181 38.974413, -77.2980347 38.9743587, -77.29766100000001 38.97422, -77.29724400000001 38.974046, -77.297144 38.973995, -77.297061 38.973947, -77.29693899999999 38.9738624, -77.296885 38.973825, -77.296724 38.973682, -77.29668940000001 38.9736466, -77.29663600000001 38.973592)",,50.0
30,25026,7355,6503,1,329.68644459595475,2015-04-01T00:00,"LINESTRING (-77.29663600000001 38.973592, -77.296511 38.973453, -77.2963689 38.9732591, -77.296312 38.9731761, -77.2962922 38.9731472, -77.296243 38.9730715, -77.29615699999999 38.972922, -77.296064 38.972762, -77.295974 38.972585, -77.295856 38.972333, -77.29558299999999 38.97172, -77.29549900000001 38.97155, -77.295404 38.971383, -77.295333 38.971284, -77.295222 38.971154, -77.295123 38.971061, -77.29497499999999 38.970951)",,50.0
31,25028,6503,1288,1,494.7189434968312,2015-04-01T00:00,"LINESTRING (-77.29497499999999 38.970951, -77.2948681 38.9708783, -77.294847 38.970864, -77.294611 38.970718, -77.294235 38.970514, -77.294062 38.970416, -77.29388899999999 38.970312, -77.293717 38.970183, -77.29357899999999 38.970054, -77.293401 38.969844, -77.29301700000001 38.969336, -77.29299779999999 38.9693143, -77.292878 38.969179, -77.29272400000001 38.968995, -77.292524 38.96878, -77.29247410000001 38.9687311, -77.292258 38.968519, -77.29186300000001 38.968155, -77.291479 38.967809, -77.291369 38.9677, -77.291332 38.967649, -77.29131599999999 38.967594)",,50.0
32,30915,1288,14782,1,27.353552119449443,2015-04-01T00:00,"LINESTRING (-77.29131599999999 38.967594, -77.291326 38.967511, -77.291369 38.967432, -77.29140390000001 38.9673601)",,50.0
33,24054,14782,9999,2,304.7401572102533,2015-04-01T00:00,"LINESTRING (-77.2914593 38.9672636, -77.2912381 38.9671855, -77.2909283 38.9670762, -77.2904544 38.9669013, -77.2897007 38.9666302, -77.28870879999999 38.9662797, -77.2882578 38.9661171)",,48.0
34,18809,9999,10000,2,59.54624486828188,2015-04-01T00:00,"LINESTRING (-77.2882578 38.9661171, -77.28763050000001 38.965896)",,48.0
35,28143,10000,13718,2,133.19290301032993,2015-04-01T00:00,"LINESTRING (-77.28763050000001 38.965896, -77.28623210000001 38.9653934)",,48.0
36,28144,13718,10059,3,87.97846580094512,2015-04-01T00:00,"LINESTRING (-77.28623210000001 38.9653934, -77.2853089 38.9650606)",,48.0
37,18810,10059,10001,2,513.5247531938727,2015-04-01T00:00,"LINESTRING (-77.2853089 38.9650606, -77.284654 38.9648303, -77.28462949999999 38.9648216, -77.2844446 38.964756, -77.2842512 38.9646771, -77.28405840000001 38.9645879, -77.2838903 38.9645053, -77.283655 38.9643758, -77.28343889999999 38.9642396, -77.2829706 38.9639099, -77.28221259999999 38.9633599, -77.2813168 38.962707, -77.2806724 38.962234)",,48.0
38,28138,10001,10002,3,72.76675193883938,2015-04-01T00:00,"LINESTRING (-77.2806724 38.962234, -77.2800582 38.9617866)",,48.0
39,28137,10002,10003,4,59.81799223268822,2015-04-01T00:00,"LINESTRING (-77.2800582 38.9617866, -77.27954889999999 38.9614225)",,48.0
40,28139,10003,13717,2,62.933159768329645,2015-04-01T00:00,"LINESTRING (-77.27954889999999 38.9614225, -77.2794225 38.9613309, -77.27901610000001 38.9610369)",,48.0
41,28135,13717,12417,3,87.3198296685371,2015-04-01T00:00,"LINESTRING (-77.27901610000001 38.9610369, -77.2785373 38.9606906, -77.27827670000001 38.960502)",,48.0
42,27650,12417,13716,2,95.571374321651,2015-04-01T00:00,"LINESTRING (-77.27827670000001 38.960502, -77.2777246 38.9601024, -77.2774687 38.9599155)",,48.0
