name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,29264,23725360,13096,13095,1,216.92896195099155,1,59,,motorway,1,"LINESTRING (-112.1150895 33.6539164, -112.1150608 33.653829, -112.1150586 33.6534669, -112.1150703 33.6530144, -112.1150602 33.6525401, -112.1150568 33.6520941, -112.1150389 33.6519698)",auto,0
,29265,23725379,13099,18014,1,150.86137698283463,1,59,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1144781 33.6511424, -112.114445 33.6514047, -112.1143786 33.6519613, -112.1143265 33.652287)",auto,0
,29266,23725387,13099,18015,1,150.79581730485683,1,59,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1145218 33.6511462, -112.1144899 33.6514037, -112.114425 33.6519795, -112.1143958 33.652292)",auto,0
,29297,23725538,13116,24021,1,520.1870189542017,1,45,,motorway,1,"LINESTRING (-112.1129946 33.6712988, -112.1129361 33.6715341, -112.1128516 33.6721232, -112.1127223 33.6726686, -112.1124249 33.6734017, -112.1123329 33.6736826, -112.1122908 33.6738702, -112.1122576 33.6740825, -112.1122351 33.6746377, -112.1121867 33.6756831, -112.1121742 33.6759)",auto,0
,29300,23725593,13111,13107,1,216.24794095283082,1,59,,motorway,1,"LINESTRING (-112.1136302 33.6677628, -112.1137643 33.6672101, -112.1138088 33.6668703, -112.1139015 33.6663697, -112.1140635 33.6659696, -112.1141086 33.6658658)",auto,0
Piestewa Freeway,29377,23795731,13252,13062,1,34.36054223111248,4,65,,motorway,1,"LINESTRING (-112.0000012 33.6644913, -111.99999 33.6643697, -111.9999727 33.6641832)",auto,0
,29387,23806002,13182,13183,1,574.3363937079893,1,59,,motorway,1,"LINESTRING (-111.8912942 33.6112301, -111.8910415 33.614023, -111.8909967 33.6145221, -111.8908277 33.6163806)",auto,0
,29389,23806142,13184,22941,1,83.76752749185138,2,59,,motorway,1,"LINESTRING (-111.8908068 33.6174756, -111.890769 33.6175578, -111.8907492 33.6181352, -111.8907424 33.6182227)",auto,0
,29390,23806142,22941,13189,1,8.68048149410471,2,59,,motorway,1,"LINESTRING (-111.8907424 33.6182227, -111.8907363 33.6183006)",auto,0
,29391,23806172,13191,13192,1,505.7641672906914,1,59,,motorway,1,"LINESTRING (-111.8912767 33.6170565, -111.8911918 33.6174069, -111.8911637 33.6179994, -111.8910764 33.6186734, -111.8910169 33.6190556, -111.8909335 33.6194986, -111.8908611 33.6198284, -111.8904752 33.6215497)",auto,0
,29392,23806180,13187,13193,1,126.37901362032804,1,59,,motorway,1,"LINESTRING (-111.8899417 33.6252504, -111.8900044 33.6258199, -111.8900252 33.6263843)",auto,0
,29393,23806214,4480,22937,1,97.12180183702822,2,59,,motorway,1,"LINESTRING (-111.8920714 33.6171758, -111.8920278 33.6170101, -111.8919934 33.6165703, -111.8919708 33.6163079)",auto,0
,29394,23806567,22000,13117,1,258.3633836678312,1,59,,motorway,1,"LINESTRING (-111.8915374 33.6197164, -111.8915552 33.6189332, -111.8915691 33.6186479, -111.8916036 33.6176972, -111.8915351 33.6173991)",auto,0
,29404,23806675,13212,22972,1,135.35593624789163,2,59,,motorway,1,"LINESTRING (-111.8898184 33.6315056, -111.889919 33.63272)",auto,0
,29405,23806685,13217,13218,1,433.55128689784436,1,59,,motorway,1,"LINESTRING (-111.8904859 33.6375938, -111.8905842 33.6373963, -111.8906431 33.6367991, -111.8906684 33.6365308, -111.8907008 33.6361929, -111.8907166 33.6359929, -111.8907317 33.635781, -111.890764 33.6351111, -111.890775 33.6343645, -111.8907836 33.6340833, -111.890805 33.6337169)",auto,0
,29431,23806965,13177,22979,1,179.2999828204484,2,59,,motorway,1,"LINESTRING (-111.8932162 33.6457952, -111.8924587 33.644839, -111.8923539 33.6446947, -111.8921874 33.6444304)",auto,0
,29432,23806973,13157,18146,1,23.786343306681086,2,59,,motorway,1,"LINESTRING (-111.8924243 33.6470879, -111.892565 33.6472669)",auto,0
,29433,23806973,18146,13240,1,61.08561567825686,2,59,,motorway,1,"LINESTRING (-111.892565 33.6472669, -111.8926319 33.64735, -111.892925 33.6477273)",auto,0
,29434,23806975,13241,13242,1,530.0167426422339,1,59,,motorway,1,"LINESTRING (-111.8991762 33.6518318, -111.89888 33.6515855, -111.8982522 33.6512238, -111.8980647 33.6511043, -111.8978772 33.6509847, -111.8975773 33.6507813, -111.8969073 33.6502901, -111.896515 33.6499581, -111.8962205 33.6496888, -111.8959769 33.6494567, -111.8956818 33.6491509, -111.8954537 33.6488929, -111.8951361 33.6485002)",auto,0
Piestewa Freeway,29435,23807260,18381,13251,1,423.42203360614417,1,65,,motorway,1,"LINESTRING (-111.9910981 33.673063, -111.9921093 33.6730295, -111.9932841 33.6729558, -111.9950168 33.672842, -111.9953521 33.6728108, -111.9956579 33.6727683)",auto,1
Piestewa Freeway,29436,23807260,13251,18381,1,423.42203360614417,1,65,,motorway,1,"LINESTRING (-111.9956579 33.6727683, -111.9953521 33.6728108, -111.9950168 33.672842, -111.9932841 33.6729558, -111.9921093 33.6730295, -111.9910981 33.673063)",auto,1
,29437,23807311,13256,16717,1,101.99247136771031,2,59,,motorway,1,"LINESTRING (-111.9784277 33.6724792, -111.978049 33.6725251, -111.9779224 33.6725613, -111.9777915 33.6726251, -111.9776797 33.6727121, -111.977652 33.6727384, -111.9776059 33.6727985, -111.9775227 33.6729055)",auto,0
,29438,23807356,13256,16002,1,133.46108777239175,2,59,,motorway,1,"LINESTRING (-111.9784277 33.6724792, -111.9780104 33.6724236, -111.9778278 33.6724141, -111.9777569 33.6724028, -111.9776891 33.672382, -111.9776474 33.6723559, -111.9776004 33.6722951, -111.9775712 33.6722361, -111.9775254 33.6718414)",auto,0
,29439,23807364,13263,16712,1,23.2926991089092,1,59,,motorway,1,"LINESTRING (-111.9773125 33.6716561, -111.9772221 33.6718516)",auto,0
,29440,23807376,13264,17069,1,76.24878100057906,2,59,,motorway,1,"LINESTRING (-111.9766272 33.6734262, -111.9768558 33.6733826, -111.9769864 33.6733287, -111.9770783 33.6732756, -111.9771512 33.6732181, -111.9771889 33.673185, -111.9772236 33.6731532, -111.9773044 33.6730739)",auto,0
,29441,23807379,13264,16724,1,106.80321572198828,2,59,,motorway,1,"LINESTRING (-111.9766272 33.6734262, -111.9768139 33.6734692, -111.9769828 33.6734651, -111.9770232 33.6734665, -111.9770599 33.673473, -111.9770869 33.6734783, -111.9771131 33.6734894, -111.9771494 33.6735103, -111.9771801 33.6735377, -111.9772052 33.673564, -111.9772386 33.6736094, -111.9772593 33.6736608, -111.9772629 33.6739918)",auto,0
,29442,23807383,16003,16723,1,58.241054848960026,1,59,,motorway,1,"LINESTRING (-111.9775147 33.6745155, -111.9775882 33.6741457, -111.9776021 33.6739972)",auto,0
,29443,23807388,18414,18413,1,49.7736747991092,2,59,,motorway,1,"LINESTRING (-111.9599251 33.6672065, -111.9598328 33.6671579, -111.9594432 33.6670092)",auto,0
,29444,23807388,18413,13269,1,28.205460858174444,2,59,,motorway,1,"LINESTRING (-111.9594432 33.6670092, -111.9591662 33.6669034)",auto,0
,29445,23807456,13271,13272,1,59.400175664956244,2,59,,motorway,1,"LINESTRING (-111.9602138 33.6685694, -111.9603249 33.6686309, -111.9607831 33.6688143)",auto,0
,29446,23807478,13282,13283,1,63.386298126962394,2,59,,motorway,1,"LINESTRING (-111.9078802 33.6539554, -111.9077669 33.653934, -111.9077471 33.6539316, -111.907204 33.6538669)",auto,0
,29447,23807484,15961,13284,1,491.6739359184966,1,59,,motorway,1,"LINESTRING (-111.9000855 33.6525857, -111.9004387 33.6528016, -111.9009816 33.6530208, -111.9014965 33.6532166, -111.9029211 33.6537748, -111.9037765 33.6540841, -111.9042551 33.6542475, -111.9048906 33.6544486)",auto,0
,29526,23807813,13046,13292,1,441.66302358986536,1,45,,motorway,1,"LINESTRING (-112.0240529 33.6728389, -112.0245438 33.6728947, -112.0249987 33.6729117, -112.0261595 33.6729734, -112.0271098 33.6730323, -112.0279338 33.6730394, -112.0288132 33.6729852)",auto,0
,29527,23807815,13293,17319,1,102.66369923658836,2,45,,motorway,1,"LINESTRING (-112.0299811 33.6728662, -112.0304915 33.6727037, -112.0306678 33.6726061, -112.0307308 33.6725626, -112.0308273 33.6724857, -112.0309082 33.672395)",auto,0
,29528,23807819,13295,17310,1,8.085048076532505,2,45,,motorway,1,"LINESTRING (-112.0309825 33.6718454, -112.0308973 33.6718615)",auto,0
,29529,23807822,19219,24400,1,19.4614994272733,2,45,,motorway,1,"LINESTRING (-112.0310946 33.6725314, -112.0309914 33.6723789)",auto,0
