link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000071,115-04378,AZ-101-LOOP_EASTBOUND,25.0,100000106,100000025,1,,"LINESTRING (-111.98856 33.6728,-111.98383999999999 33.67283)",1,0.271362,,,,,
100000072,115-04379,AZ-101-LOOP_EASTBOUND,27.0,100000026,100000042,1,,"LINESTRING (-111.97086999999999 33.67237,-111.96503999999999 33.67009)",1,0.371393,,,,,
100000073,115N04140,AZ-101-LOOP_CLOCKWISE,42.0,100000001,100000084,1,,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",1,1.077861,,,,,
100000074,115+04140,AZ-101-LOOP_COUNTERCLOCKWISE,70.0,100000002,100000003,1,,"LINESTRING (-112.0943 33.66976,-112.1003 33.66944)",1,0.346227,,,,,
100000075,115+04380,AZ-101-LOOP_COUNTERCLOCKWISE,54.0,100000004,100000086,1,,"LINESTRING (-111.91411000000001 33.65597,-111.919 33.65699)",1,0.289879,,,,,
100000076,115P05163,AZ-101-LOOP_COUNTERCLOCKWISE,61.0,100000005,100000006,1,,"LINESTRING (-111.98857 33.67302,-112.00941999999999 33.67293)",1,1.20979,,,,,
100000077,115P05164,AZ-101-LOOP_COUNTERCLOCKWISE,53.0,100000007,100000004,1,,"LINESTRING (-111.9015 33.65314,-111.91411000000001 33.65597)",1,0.751632,,,,,
100000078,115N04380,AZ-101-LOOP_CLOCKWISE,58.0,100000008,100000009,1,,"LINESTRING (-111.93121000000001 33.65932,-111.91911999999999 33.65682)",1,0.7163010000000001,,,,,
100000079,115N04374,AZ-101-LOOP_CLOCKWISE,44.0,100000010,100000087,1,,"LINESTRING (-112.09523999999999 33.66959,-112.09151000000001 33.66939)",1,0.21506599999999998,,,,,
100000080,115+04136,AZ-101-LOOP_COUNTERCLOCKWISE,78.0,100000011,100000012,1,,"LINESTRING (-112.1766 33.66845,-112.18048 33.668440000000004)",1,0.223073,,,,,
100000081,115+04378,AZ-101-LOOP_COUNTERCLOCKWISE,58.0,100000013,100000056,1,,"LINESTRING (-111.96457 33.67013,-111.97089 33.67259)",1,0.402386,,,,,
100000082,115+04137,AZ-101-LOOP_COUNTERCLOCKWISE,76.0,100000014,100000065,1,,"LINESTRING (-112.1401 33.669740000000004,-112.16288 33.669509999999995)",1,1.3099379999999998,,,,,
100000083,115N04373,AZ-101-LOOP_CLOCKWISE,62.0,100000015,100000016,1,,"LINESTRING (-111.89787 33.6511,-111.89072 33.6413)",1,0.8105720000000001,,,,,
100000084,115+04379,AZ-101-LOOP_COUNTERCLOCKWISE,56.0,100000017,100000064,1,,"LINESTRING (-111.93113999999998 33.65951,-111.95401000000001 33.66519)",1,1.376025,,,,,
100000085,115+04376,AZ-101-LOOP_COUNTERCLOCKWISE,64.0,100000018,100000073,1,,"LINESTRING (-112.03833 33.67009,-112.05912 33.66917)",1,1.204628,,,,,
100000086,115+04134,AZ-101-LOOP_COUNTERCLOCKWISE,82.0,100000019,100000071,1,,"LINESTRING (-112.20983000000001 33.66778,-112.21383999999999 33.667790000000004)",1,0.230589,,,,,
100000087,115N04372,AZ-101-LOOP_CLOCKWISE,64.0,100000020,100000021,1,,"LINESTRING (-111.89045 33.63808,-111.89056000000001 33.6296)",1,0.585847,,,,,
100000088,115+04377,AZ-101-LOOP_COUNTERCLOCKWISE,62.0,100000006,100000059,1,,"LINESTRING (-112.00941999999999 33.67293,-112.02378999999999 33.67283)",1,0.8261809999999999,,,,,
100000089,115+04135,AZ-101-LOOP_COUNTERCLOCKWISE,80.0,100000023,100000024,1,,"LINESTRING (-112.19294 33.66837,-112.19671000000001 33.66832)",1,0.21679600000000002,,,,,
100000090,115N04378,AZ-101-LOOP_CLOCKWISE,54.0,100000025,100000026,1,,"LINESTRING (-111.98383999999999 33.67283,-111.97086999999999 33.67237)",1,0.7489020000000001,,,,,
100000091,115N04136,AZ-101-LOOP_CLOCKWISE,34.0,100000027,100000028,1,,"LINESTRING (-112.19323 33.66819,-112.18051000000001 33.66826)",1,0.73161,,,,,
100000092,115N04135,AZ-101-LOOP_CLOCKWISE,32.0,100000029,100000105,1,,"LINESTRING (-112.2095 33.667609999999996,-112.19649 33.66815)",1,0.7489180000000001,,,,,
100000093,115N04377,AZ-101-LOOP_CLOCKWISE,50.0,100000030,100000051,1,,"LINESTRING (-112.03737 33.6702,-112.02306000000002 33.67265)",1,0.8505389999999999,,,,,
100000094,115+04138,AZ-101-LOOP_COUNTERCLOCKWISE,74.0,100000031,100000032,1,,"LINESTRING (-112.12678000000001 33.668859999999995,-112.13467 33.66928)",1,0.45632399999999995,,,,,
100000095,115N04134,AZ-101-LOOP_CLOCKWISE,30.0,100000033,100000092,1,,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1,0.039724,,,,,
100000096,115N04376,AZ-101-LOOP_CLOCKWISE,48.0,100000034,100000035,1,,"LINESTRING (-112.07275 33.66876,-112.05848999999999 33.66898)",1,0.820003,,,,,
100000097,115N04375,AZ-101-LOOP_CLOCKWISE,46.0,100000036,100000088,1,,"LINESTRING (-112.09007 33.66921,-112.07713000000001 33.66871)",1,0.746925,,,,,
100000098,115+04139,AZ-101-LOOP_COUNTERCLOCKWISE,72.0,100000037,100000038,1,,"LINESTRING (-112.1164 33.66883,-112.11696 33.66883)",1,0.032195999999999995,,,,,
100000099,115N04139,AZ-101-LOOP_CLOCKWISE,40.0,100000039,100000040,1,,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",1,0.595055,,,,,
100000100,115N04138,AZ-101-LOOP_CLOCKWISE,38.0,100000041,100000099,1,,"LINESTRING (-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004)",1,0.317499,,,,,
100000101,115N04379,AZ-101-LOOP_CLOCKWISE,56.0,100000042,100000043,1,,"LINESTRING (-111.96503999999999 33.67009,-111.95459 33.665209999999995)",1,0.6889270000000001,,,,,
100000102,115N04137,AZ-101-LOOP_CLOCKWISE,36.0,100000044,100000101,1,,"LINESTRING (-112.1766 33.668279999999996,-112.161 33.66935)",1,0.903466,,,,,
100000103,115+04374,AZ-101-LOOP_COUNTERCLOCKWISE,68.0,100000045,100000046,1,,"LINESTRING (-112.08968 33.66937,-112.09245 33.66966)",1,0.16053299999999998,,,,,
100000104,115+04375,AZ-101-LOOP_COUNTERCLOCKWISE,66.0,100000047,100000074,1,,"LINESTRING (-112.07266000000001 33.66897,-112.07623000000001 33.66892)",1,0.205283,,,,,
100000105,115+04372,AZ-101-LOOP_COUNTERCLOCKWISE,48.0,100000048,100000075,1,,"LINESTRING (-111.89128999999998 33.61779,-111.89023999999999 33.6296)",1,0.818749,,,,,
100000106,115+04373,AZ-101-LOOP_COUNTERCLOCKWISE,50.0,100000049,100000050,1,,"LINESTRING (-111.8902 33.63686,-111.89029 33.640609999999995)",1,0.259359,,,,,
100000107,115-05163,AZ-101-LOOP_CLOCKWISE,51.0,100000051,100000078,1,,"LINESTRING (-112.02306000000002 33.67265,-112.00683000000001 33.67265)",1,0.933221,,,,,
100000108,115-05164,AZ-101-LOOP_CLOCKWISE,59.0,100000009,100000053,1,,"LINESTRING (-111.91911999999999 33.65682,-111.91423 33.6558)",1,0.289879,,,,,
100000109,115P04139,AZ-101-LOOP_COUNTERCLOCKWISE,73.0,100000038,100000031,1,,"LINESTRING (-112.11696 33.66883,-112.12678000000001 33.668859999999995)",1,0.5646260000000001,,,,,
100000110,115P04378,AZ-101-LOOP_COUNTERCLOCKWISE,59.0,100000056,100000081,1,,"LINESTRING (-111.97089 33.67259,-111.98378999999998 33.67306)",1,0.744653,,,,,
100000111,115P04136,AZ-101-LOOP_COUNTERCLOCKWISE,79.0,100000012,100000023,1,,"LINESTRING (-112.18048 33.668440000000004,-112.19294 33.66837)",1,0.716601,,,,,
100000112,115P04377,AZ-101-LOOP_COUNTERCLOCKWISE,63.0,100000059,100000018,1,,"LINESTRING (-112.02378999999999 33.67283,-112.03833 33.67009)",1,0.867985,,,,,
100000113,115P04135,AZ-101-LOOP_COUNTERCLOCKWISE,81.0,100000024,100000019,1,,"LINESTRING (-112.19671000000001 33.66832,-112.20983000000001 33.66778)",1,0.755233,,,,,
100000114,115P04138,AZ-101-LOOP_COUNTERCLOCKWISE,75.0,100000032,100000014,1,,"LINESTRING (-112.13467 33.66928,-112.1401 33.669740000000004)",1,0.315343,,,,,
100000115,115P04379,AZ-101-LOOP_COUNTERCLOCKWISE,57.0,100000064,100000013,1,,"LINESTRING (-111.95401000000001 33.66519,-111.96457 33.67013)",1,0.696492,,,,,
