name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115N04136,AZ-101-LOOP_CLOCKWISE,5,100000006,100000007,6,"LINESTRING (-112.19323 33.66819,-112.18051000000001 33.66826)",Agua Fria Freeway,46025,13342,13343,6,"LINESTRING (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349)","MULTILINESTRING ((-112.19323 33.66819,-112.18051000000001 33.66826), (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349))",3.242065107004284e-05
115-04137,AZ-101-LOOP_CLOCKWISE,6,100000007,100000008,7,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",Agua Fria Freeway,46025,13342,13343,7,"LINESTRING (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349)","MULTILINESTRING ((-112.18051000000001 33.66826,-112.1766 33.668279999999996), (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349))",3.0935789721998896e-05
115-04137,AZ-101-LOOP_CLOCKWISE,6,100000007,100000008,7,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",Agua Fria Freeway,39942,13343,15883,7,"LINESTRING (-112.1789042 33.6682349, -112.1783265 33.6682356)","MULTILINESTRING ((-112.18051000000001 33.66826,-112.1766 33.668279999999996), (-112.1789042 33.6682349, -112.1783265 33.6682356))",3.3455869495885405e-05
115-04137,AZ-101-LOOP_CLOCKWISE,6,100000007,100000008,7,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",Agua Fria Freeway,34281,15883,15884,7,"LINESTRING (-112.1783265 33.6682356, -112.1780017 33.6682359)","MULTILINESTRING ((-112.18051000000001 33.66826,-112.1766 33.668279999999996), (-112.1783265 33.6682356, -112.1780017 33.6682359))",3.559435057729099e-05
115-04137,AZ-101-LOOP_CLOCKWISE,6,100000007,100000008,7,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",Agua Fria Freeway,47246,15884,13454,7,"LINESTRING (-112.1780017 33.6682359, -112.1774817 33.6682407)","MULTILINESTRING ((-112.18051000000001 33.66826,-112.1766 33.668279999999996), (-112.1780017 33.6682359, -112.1774817 33.6682407))",3.663105480033079e-05
115-04137,AZ-101-LOOP_CLOCKWISE,6,100000007,100000008,7,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",Agua Fria Freeway,34282,13454,13834,7,"LINESTRING (-112.1774817 33.6682407, -112.1770213 33.6682415, -112.1761249 33.6682431, -112.1751014 33.6682449, -112.1741653 33.6682465, -112.1725037 33.6682494, -112.1714822 33.6682563, -112.1709415 33.6682574, -112.1703762 33.6682615, -112.169687 33.6682673)","MULTILINESTRING ((-112.18051000000001 33.66826,-112.1766 33.668279999999996), (-112.1774817 33.6682407, -112.1770213 33.6682415, -112.1761249 33.6682431, -112.1751014 33.6682449, -112.1741653 33.6682465, -112.1725037 33.6682494, -112.1714822 33.6682563, -112.1709415 33.6682574, -112.1703762 33.6682615, -112.169687 33.6682673))",3.4862588546561305e-05
115N04137,AZ-101-LOOP_CLOCKWISE,7,100000008,100000009,8,"LINESTRING (-112.1766 33.668279999999996,-112.161 33.66935)",Agua Fria Freeway,34282,13454,13834,8,"LINESTRING (-112.1774817 33.6682407, -112.1770213 33.6682415, -112.1761249 33.6682431, -112.1751014 33.6682449, -112.1741653 33.6682465, -112.1725037 33.6682494, -112.1714822 33.6682563, -112.1709415 33.6682574, -112.1703762 33.6682615, -112.169687 33.6682673)","MULTILINESTRING ((-112.1766 33.668279999999996,-112.161 33.66935), (-112.1774817 33.6682407, -112.1770213 33.6682415, -112.1761249 33.6682431, -112.1751014 33.6682449, -112.1741653 33.6682465, -112.1725037 33.6682494, -112.1714822 33.6682563, -112.1709415 33.6682574, -112.1703762 33.6682615, -112.169687 33.6682673))",3.7747954144588015e-05
115N04137,AZ-101-LOOP_CLOCKWISE,7,100000008,100000009,8,"LINESTRING (-112.1766 33.668279999999996,-112.161 33.66935)",Agua Fria Freeway,30198,13834,13344,8,"LINESTRING (-112.169687 33.6682673, -112.1689359 33.6682995)","MULTILINESTRING ((-112.1766 33.668279999999996,-112.161 33.66935), (-112.169687 33.6682673, -112.1689359 33.6682995))",0.0004931720833539374
115N04137,AZ-101-LOOP_CLOCKWISE,7,100000008,100000009,8,"LINESTRING (-112.1766 33.668279999999996,-112.161 33.66935)",Agua Fria Freeway,30199,13344,13345,8,"LINESTRING (-112.1689359 33.6682995, -112.1685283 33.6683311, -112.1676017 33.6684347, -112.1665371 33.6686283, -112.1651994 33.6688716, -112.1644219 33.669013, -112.1639882 33.6690919, -112.1633579 33.6691865, -112.1629668 33.6692348, -112.1625548 33.6692771, -112.1621428 33.669299, -112.1612416 33.6693348)","MULTILINESTRING ((-112.1766 33.668279999999996,-112.161 33.66935), (-112.1689359 33.6682995, -112.1685283 33.6683311, -112.1676017 33.6684347, -112.1665371 33.6686283, -112.1651994 33.6688716, -112.1644219 33.669013, -112.1639882 33.6690919, -112.1633579 33.6691865, -112.1629668 33.6692348, -112.1625548 33.6692771, -112.1621428 33.669299, -112.1612416 33.6693348))",0.0005034533625047194
115-04138,AZ-101-LOOP_CLOCKWISE,8,100000009,100000010,9,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",Agua Fria Freeway,47240,13345,14446,9,"LINESTRING (-112.1612416 33.6693348, -112.1577755 33.6693499, -112.1521009 33.6693954)","MULTILINESTRING ((-112.161 33.66935,-112.14013999999999 33.669540000000005), (-112.1612416 33.6693348, -112.1577755 33.6693499, -112.1521009 33.6693954))",1.4147339856390878e-05
