,_vatmc_code,measurement_tstamp,speed,reference_speed
99,110-05709,2015-04-01 00:05:00,48.0,48.0
100,110N05692,2015-04-01 00:05:00,33.0,33.0
101,110P05707,2015-04-01 00:05:00,45.0,45.0
102,110P05697,2015-04-01 00:05:00,39.0,35.0
103,110-05694,2015-04-01 00:05:00,31.0,31.0
104,110N05711,2015-04-01 00:05:00,44.0,44.0
105,110P05706,2015-04-01 00:05:00,48.0,48.0
106,110-05710,2015-04-01 00:05:00,44.0,44.0
107,110-05697,2015-04-01 00:05:00,30.0,30.0
108,110-05701,2015-04-01 00:05:00,47.0,47.0
109,110P05708,2015-04-01 00:05:00,43.0,43.0
110,110+05704,2015-04-01 00:05:00,50.0,50.0
111,110+05694,2015-04-01 00:05:00,31.0,31.0
112,110+05710,2015-04-01 00:05:00,48.0,48.0
113,110+05701,2015-04-01 00:05:00,42.0,42.0
114,110P05695,2015-04-01 00:05:00,35.0,35.0
115,110+05700,2015-04-01 00:05:00,40.0,40.0
116,110P05698,2015-04-01 00:05:00,35.0,35.0
117,110+05693,2015-04-01 00:05:00,31.0,31.0
118,110-05698,2015-04-01 00:10:00,30.0,30.0
119,110P05694,2015-04-01 00:10:00,31.0,31.0
120,110N05692,2015-04-01 00:10:00,33.0,33.0
121,110N05706,2015-04-01 00:10:00,41.0,41.0
122,110-05693,2015-04-01 00:10:00,30.0,30.0
123,110P05710,2015-04-01 00:10:00,49.0,49.0
124,110-05704,2015-04-01 00:10:00,50.0,50.0
125,110+05699,2015-04-01 00:10:00,35.0,35.0
126,110+05701,2015-04-01 00:10:00,42.0,42.0
127,110P05706,2015-04-01 00:10:00,48.0,48.0
128,110+05707,2015-04-01 00:10:00,48.0,48.0
129,110-05696,2015-04-01 00:10:00,29.0,29.0
130,110-05707,2015-04-01 00:10:00,50.0,50.0
131,110N05694,2015-04-01 00:10:00,30.0,30.0
132,110P05707,2015-04-01 00:10:00,45.0,45.0
133,110+05709,2015-04-01 00:10:00,47.0,47.0
134,110+05694,2015-04-01 00:10:00,31.0,31.0
135,110-05695,2015-04-01 00:10:00,31.0,31.0
136,110+05700,2015-04-01 00:10:00,40.0,40.0
137,110-05699,2015-04-01 00:10:00,40.0,40.0
138,110+05706,2015-04-01 00:10:00,48.0,48.0
139,110-05694,2015-04-01 00:10:00,31.0,31.0
140,110N05697,2015-04-01 00:10:00,32.0,32.0
141,110P05708,2015-04-01 00:10:00,43.0,43.0
142,110-05708,2015-04-01 00:10:00,48.0,48.0
143,110P05695,2015-04-01 00:10:00,35.0,35.0
144,110P05692,2015-04-01 00:10:00,29.0,29.0
145,110N05707,2015-04-01 00:10:00,50.0,50.0
146,110+05711,2015-04-01 00:10:00,56.0,41.0
147,110-05706,2015-04-01 00:10:00,48.0,48.0
148,110N05695,2015-04-01 00:10:00,33.0,33.0
149,110N05699,2015-04-01 00:10:00,36.0,36.0
150,110-05701,2015-04-01 00:10:00,47.0,47.0
151,110+05704,2015-04-01 00:10:00,50.0,50.0
152,110+05698,2015-04-01 00:10:00,35.0,35.0
153,110P05698,2015-04-01 00:10:00,35.0,35.0
154,110P05697,2015-04-01 00:10:00,39.0,35.0
155,110+05696,2015-04-01 00:10:00,32.0,32.0
156,110-05709,2015-04-01 00:10:00,48.0,48.0
157,110+05693,2015-04-01 00:10:00,31.0,31.0
158,110+05697,2015-04-01 00:10:00,42.0,36.0
159,110+05705,2015-04-01 00:10:00,48.0,48.0
160,110-05703,2015-04-01 00:10:00,50.0,50.0
161,110N05710,2015-04-01 00:10:00,49.0,49.0
162,110P05696,2015-04-01 00:10:00,42.0,31.0
163,110-05697,2015-04-01 00:10:00,30.0,30.0
164,110N05711,2015-04-01 00:10:00,44.0,44.0
165,110+05695,2015-04-01 00:10:00,31.0,31.0
166,110-05710,2015-04-01 00:10:00,44.0,44.0
167,110+05703,2015-04-01 00:10:00,48.0,48.0
168,110P05699,2015-04-01 00:10:00,36.0,36.0
169,110+05702,2015-04-01 00:10:00,47.0,47.0
170,110N05698,2015-04-01 00:10:00,30.0,30.0
171,110N05696,2015-04-01 00:10:00,25.0,25.0
172,110+05708,2015-04-01 00:10:00,45.0,45.0
173,110-05702,2015-04-01 00:10:00,48.0,48.0
174,110+05710,2015-04-01 00:10:00,48.0,48.0
175,110-05700,2015-04-01 00:10:00,43.0,43.0
176,110-05705,2015-04-01 00:10:00,50.0,50.0
177,110P05697,2015-04-01 00:15:00,39.0,35.0
178,110+05702,2015-04-01 00:15:00,47.0,47.0
179,110-05706,2015-04-01 00:15:00,48.0,48.0
180,110P05699,2015-04-01 00:15:00,36.0,36.0
181,110+05697,2015-04-01 00:15:00,42.0,36.0
182,110-05703,2015-04-01 00:15:00,50.0,50.0
183,110-05700,2015-04-01 00:15:00,43.0,43.0
184,110+05695,2015-04-01 00:15:00,31.0,31.0
185,110-05705,2015-04-01 00:15:00,50.0,50.0
186,110N05699,2015-04-01 00:15:00,36.0,36.0
187,110N05706,2015-04-01 00:15:00,41.0,41.0
188,110P05708,2015-04-01 00:15:00,43.0,43.0
189,110+05707,2015-04-01 00:15:00,48.0,48.0
190,110N05696,2015-04-01 00:15:00,25.0,25.0
191,110N05707,2015-04-01 00:15:00,50.0,50.0
192,110+05711,2015-04-01 00:15:00,56.0,41.0
193,110P05707,2015-04-01 00:15:00,45.0,45.0
194,110P05694,2015-04-01 00:15:00,31.0,31.0
195,110-05696,2015-04-01 00:15:00,29.0,29.0
196,110N05694,2015-04-01 00:15:00,30.0,30.0
197,110-05698,2015-04-01 00:15:00,30.0,30.0
198,110N05692,2015-04-01 00:15:00,33.0,33.0
199,110-05699,2015-04-01 00:15:00,40.0,40.0
200,110-05702,2015-04-01 00:15:00,48.0,48.0
201,110-05709,2015-04-01 00:15:00,48.0,48.0
202,110-05707,2015-04-01 00:15:00,50.0,50.0
203,110-05704,2015-04-01 00:15:00,50.0,50.0
204,110+05696,2015-04-01 00:15:00,32.0,32.0
205,110-05693,2015-04-01 00:15:00,30.0,30.0
206,110P05710,2015-04-01 00:15:00,49.0,49.0
207,110-05701,2015-04-01 00:15:00,47.0,47.0
208,110+05708,2015-04-01 00:15:00,45.0,45.0
209,110+05710,2015-04-01 00:15:00,48.0,48.0
210,110-05697,2015-04-01 00:15:00,30.0,30.0
211,110+05705,2015-04-01 00:15:00,48.0,48.0
212,110P05695,2015-04-01 00:15:00,35.0,35.0
213,110-05694,2015-04-01 00:15:00,31.0,31.0
214,110+05704,2015-04-01 00:15:00,50.0,50.0
215,110+05709,2015-04-01 00:15:00,47.0,47.0
216,110+05694,2015-04-01 00:15:00,31.0,31.0
217,110+05706,2015-04-01 00:15:00,48.0,48.0
218,110N05698,2015-04-01 00:15:00,30.0,30.0
219,110N05695,2015-04-01 00:15:00,33.0,33.0
220,110+05698,2015-04-01 00:15:00,35.0,35.0
221,110+05701,2015-04-01 00:15:00,42.0,42.0
222,110+05693,2015-04-01 00:15:00,31.0,31.0
223,110-05695,2015-04-01 00:15:00,31.0,31.0
224,110P05692,2015-04-01 00:15:00,29.0,29.0
225,110-05708,2015-04-01 00:15:00,48.0,48.0
226,110N05710,2015-04-01 00:15:00,49.0,49.0
227,110P05706,2015-04-01 00:15:00,48.0,48.0
228,110+05703,2015-04-01 00:15:00,48.0,48.0
229,110+05700,2015-04-01 00:15:00,40.0,40.0
230,110P05696,2015-04-01 00:15:00,42.0,31.0
231,110-05710,2015-04-01 00:15:00,44.0,44.0
